Name,Frequency
Arben,13
Ilir,11
Agim,10
Fatmir,9
Altin,8
Petrit,8
Agron,8
Kujtim,8
Gezim,8
Besnik,7
Dritan,7
Edmond,7
Sokol,7
Astrit,6
Artan,6
Artur,6
Elton,6
Luan,6
Bashkim,6
Albert,6
Bledar,6
Denis,6
Bujar,6
Ervin,6
Eduart,6
Alfred,5
Leonard,5
Arjan,5
Ervis,5
Vasil,5
Fatjon,5
Ylli,5
Gentian,5
Ali,5
Alban,5
Andi,5
Ardian,5
Erjon,4
Ardit,4
Andrea,4
Saimir,4
Ramazan,4
Klajdi,4
Roland,4
Flamur,4
Vladimir,4
Lulzim,4
Ermal,4
Kastriot,4
Klodian,4
Shpetim,4
Fatos,4
Shkelqim,4
Hasan,4
Bajram,4
Edison,3
Aleksander,3
Ismail,3
Hysen,3
Jani,3
Armando,3
Skender,3
Armand,3
Qemal,3
Gentjan,3
Haxhi,3
Amarildo,3
Enver,3
Endri,3
Elvis,3
Xherdan,3
Afrim,3
Indrit,3
Adriatik,3
Granit,3
