Name,Frequency
Hoxha,40
Cela,13
Kurti,13
Marku,13
Muca,12
Shehu,11
Dervishi,11
Kola,10
Sula,10
Elezi,9
Gjoka,9
Lleshi,9
Koci,9
Kysa,8
Leka,8
Gjoni,8
Balla,8
Meta,7
Lika,7
Mema,7
Hoxhaj,6
Prifti,6
Cani,6
Toska,6
Hasa,6
Gjini,6
Karaj,6
Sinani,6
Caka,6
Sulaj,5
Rama,5
Murati,5
Halili,5
Cenaj,5
Gega,5
Aliaj,5
Beqiri,5
Doda,5
Deda,5
Spahiu,5
Domi,5
Duka,5
Alla,5
Kyka,4
Bardhi,4
Lala,4
Arapi,4
Tabaku,4
Malaj,4
Kasa,4
Bregu,4
Sina,4
Balliu,4
Kodra,4
Basha,4
Zeneli,4
Hasani,4
Doci,4
Xhafa,4
Bushi,4
Papa,4
Shehi,4
Prenga,4
Osmani,4
Gjergji,3
Mucaj,3
Plaku,3
Biba,3
Nika,3
Nikolli,3
Prendi,3
Shabani,3
Bajrami,3
Xhaka,3
Shaqiri,3
