Name,Frequency
Abel,1
Abir,1
Adnan,1
Ahmed,1
Ahron,1
Ajmal,1
Akil,1
Akili,1
Akram,1
Alawi,1
Alborz,1
Aleser,1
Amal,1
Ameer,1
Amen,1
Amin,1
Amir,1
Anissa,1
Anouar,1
Aram,1
Arif,1
Armen,1
Arpiar,1
Asfour,1
Asim,1
Asliraf,1
Azhaire,1
Azia,1
Azim,1
Aziz,1
Azzam,1
Bader,1
Barakah,1
Bari,1
Basem,1
Bashshar,1
Basim,1
Berk,1
Bilal,1
Boulus,1
Burhan,1
Candan,1
Dawud,1
Emir,1
Eyad,1
Fakhir,1
Faouzi,1
Farid,1
Faris,1
Farouk,1
Farran,1
Faruq,1
Fathi,1
Fatin,1
Firdos,1
Fouad,1
Gadi,1
Gamal,1
Gaspar,1
Ghazi,1
Ginton,1
Givon,1
Habib,1
Haddad,1
Hafiz,1
Hakan,1
Hamal,1
Hamden,1
Hamid,1
Hamza,1
Hanan,1
Hannan,1
Haroun,1
Hasim,1
Hatim,1
Imam,1
Jabbar,1
Jakeem,1
Jamael,1
Jarrah,1
Jassem,1
Kadeen,1
Kadir,1
Kahill,1
Kalb,1
Kalid,1
Kaliq,1
Kamaal,1
Kamal,1
Kamel,1
Kamil,1
Kardal,1
Kareem,1
Karim,1
Kaseeb,1
Kaseem,1
Kasim,1
Kassim,1
Khaldun,1
Khaled,1
Khalil,1
Khanh,1
Kharim,1
Khayyat,1
Lamine,1
Latif,1
Lounes,1
Lyes,1
Mahir,1
Mahmood,1
Mahomet,1
Majed,1
Malik,1
Mansur,1
Mashaal,1
Mohamad,1
Mohamed,1
Mohammad,1
Mohammed,1
Moukib,1
Mourad,1
Muhunnad,1
Mustafa,1
Myron,1
Nabil,1
Nadir,1
Naif,1
Nasim,1
Nasser,1
Nibal,1
Nuhad,1
Omer,1
Osman,1
Qabil,1
Qaseem,1
Qasim,1
Quasim,1
Rabi,1
Rafi,1
Rafiq,1
Rahul,1
Rakin,1
Rashaad,1
Rashad,1
Rauf,1
Rayyan,1
Rida,1
Rimon,1
Riyad,1
Sabir,1
Saddam,1
Sadik,1
Safin,1
Saghir,1
Said,1
Sak,1
Salah,1
Saleem,1
Samien,1
Sarni,1
Sayed,1
Shafiq,1
Shahar,1
Shakar,1
Shakir,1
Smain,1
Suhayb,1
Suleiman,1
Tahar,1
Talal,1
Tamir,1
Tarafah,1
Tareec,1
Tarif,1
Tariq,1
Ubaid,1
Umar,1
Usamah,1
Uthman,1
Wafiyy,1
Walid,1
Yacine,1
Yacoub,1
Yanis,1
Yasin,1
Yervant,1
Yousef,1
Yusuf,1
Zahid,1
Zaim,1
Zakiyah,1
Ziyan,1
Zuthimalin,1
