Name,Frequency
Abaven,1
Adom,1
Aghan,1
Agheksanter,1
Alan,1
Anania,1
Andon,1
Anoushavan,1
Apas,1
Apisoghom,1
Apkar,1
Ara,1
Aramais,1
Arantsar,1
Ararad,1
Ardavast,1
Ared,1
Arek,1
Aren,1
Arevshad,1
Ari,1
Arman,1
Armenag,1
Arsen,1
Arshalouys,1
Arsham,1
Arshavir,1
Arshen,1
Artsan,1
Arzouman,1
Asadour,1
Asbed,1
Asbourag,1
Askanaz,1
Atam,1
Atapeg,1
Ayk,1
Azad,1
Baben,1
Baghdasar,1
Barkev,1
Barouyr,1
Barsam,1
Berj,1
Boghos,1
Daron,1
Datev,1
Diradour,1
Dirayr,1
Dzadour,1
Dzeroun,1
Dzovag,1
Esahag,1
Gamo,1
Garbis,1
Garen,1
Garo,1
Gaydzag,1
Gdridg,1
Gharib,1
Ghazaros,1
Ghougas,1
Gomidas,1
Goryoun,1
Gosdan,1
Guregh,1
Hagop,1
Haik,1
Hamparzoum,1
Hapet,1
Haro,1
Hayasdan,1
Haygag,1
Haygaram,1
Haygaz,1
Haygazoun,1
Hayrig,1
Hetoum,1
Hovasap,1
Hovhannes,1
Hrag,1
Hrahad,1
Hrayr,1
Jannig,1
Jirayr,1
Kakig,1
Kapriel,1
Karekin,1
Kasbar,1
Keghart,1
Keghon,1
Kersam,1
Kevork,1
Khajag,1
Khatchig,1
Khoren,1
Kousan,1
Krikor,1
Krisdapor,1
Kud,1
Lernig,1
Levon,1
Loris,1
Majag,1
Mangasar,1
Mardiros,1
Markar,1
Masis,1
Matsag,1
Melek,1
Melkon,1
Mgrdoum,1
Mher,1
Mihrtad,1
Misak,1
Mjej,1
Mkhitar,1
Natan,1
Navasart,1
Nazaret,1
Nbad,1
Nerseh,1
Nerses,1
Nigoghos,1
Njteh,1
Norhad,1
Norvan,1
Nshan,1
Oda,1
Parkhoutar,1
Parsegh,1
Partogh,1
Partoghimeos,1
Penyamin,1
Pertag,1
Puzant,1
Raphael,1
Rosdom,1
Rupen,1
Samuel,1
Sanasar,1
Sarkis,1
Sebouh,1
Semag,1
Serj,1
Sero,1
Set,1
Setrag,1
Simon,1
Sinan,1
Sion,1
Sipan,1
Sirak,1
Sisag,1
Sos,1
Souren,1
Srabion,1
Stephan,1
Taniel,1
Tatoul,1
Teotig,1
Torkom,1
Trasdamard,1
Tro,1
Tsolag,1
Vagharsh,1
Vaghenag,1
Vahagn,1
Vahaken,1
Vahan,1
Vahe,1
Vahram,1
Vahrej,1
Vakhtang,1
Vanadour,1
Vanagan,1
Vanant,1
Vanig,1
Vanoush,1
Varak,1
Vart,1
Vartan,1
Varteres,1
Vartkes,1
Vatche,1
Vazken,1
Vigen,1
Vosgan,1
Vram,1
Yeghiazar,1
Yeprem,1
Yerimya,1
Yetvart,1
Yezras,1
Zakariya,1
Zarmig,1
Zaven,1
Zohrag,1
Zoravar,1
