Name,Frequency
Aintablian,1
Altounian,1
Andonian,1
Antonian,1
Antreasian,1
Arakelian,1
Araradian,1
Araratian,1
Ardashessian,1
Aronyan,1
Aroyan,1
Arshaguni,1
Arshagunian,1
Arshakuni,1
Arslanian,1
Ashjian,1
Aslanyan,1
Assadourian,1
Assarian,1
Assayan,1
Astvadzadourian,1
Atchabahian,1
Avedikian,1
Avedissian,1
Avetisyan,1
Avietissian,1
Azadian,1
Azatyan,1
Azizian,1
Aznavourian,1
Babajanian,1
Babayan,1
Baboian,1
Balian,1
Baronian,1
Barsamian,1
Belekdanian,1
Bizdikian,1
Boboian,1
Bogosian,1
Boshian,1
Bozian,1
Burian,1
Cholakian,1
Cibrian,1
Davidian,1
Dermovsesian,1
Eghian,1
Ekizian,1
Ekmekjian,1
Eskandarian,1
Fanoosian,1
Gabrelyan,1
Galinyan,1
Galoyan,1
Gambaryan,1
Ghukasyan,1
Ginosyan,1
Girogosian,1
Gogbashian,1
Gorgodian,1
Gulbenkian,1
Hagopian,1
Hakobyan,1
Haladjian,1
Haroutunian,1
Hayrapetyan,1
Houssian,1
Hovhannisyan,1
Hovsepian,1
Inguilizian,1
Isahakian,1
Ishkhanian,1
Iskenderian,1
Ispiryan,1
Israyelyan,1
Istamboulian,1
Istanboulian,1
Izmirlian,1
Jambazian,1
Janikyan,1
Jizmejian,1
Kalanjian,1
Kapoian,1
Kaprielian,1
Karadjian,1
Karapetian,1
Karapetyan,1
Kardashian,1
Karmarian,1
Karmaryan,1
Kasajian,1
Kasbarian,1
Kasparian,1
Kechichian,1
Keyishian,1
Khachadurian,1
Khederlarian,1
Kherlakian,1
Kirakosian,1
Kostikyan,1
Kostoyan,1
Kotoyan,1
Koundakjian,1
Kouyoumjian,1
Krikorian,1
Krjalian,1
Kupelian,1
Lylozian,1
Mamigonian,1
Mamikonian,1
Manukyan,1
Manvelian,1
Mardikian,1
Mardirosian,1
Margaryan,1
Markarian,1
Markossian,1
Martirosyan,1
Marutyan,1
Matevosian,1
Mesdjian,1
Mesropian,1
Mikoyan,1
Minassian,1
Mirakian,1
Mirzoyan,1
Mkhmeljian,1
Mooskian,1
Mouradian,1
Mousissian,1
Moutafian,1
Movsesian,1
Muratian,1
Musaelian,1
Musayelyan,1
Nabavian,1
Nazaryan,1
Nazlikian,1
Nigoghosian,1
Ohanian,1
Ohanyan,1
Paboojian,1
Panosian,1
Papazian,1
Parisyan,1
Paronyan,1
Pashayan,1
Pashian,1
Petrosian,1
Pilosyan,1
Portoian,1
Reizian,1
Rodnoian,1
Sahakian,1
Sandrosyan,1
Sarafian,1
Sargsyan,1
Sarian,1
Saroyan,1
Seferian,1
Seropian,1
Sevan,1
Sevhonkian,1
Shahverdyan,1
Sibrian,1
Simonian,1
Soghomonian,1
Stepanyan,1
Suzmeian,1
Suzmeyan,1
Tachdjian,1
Takoushian,1
Tankian,1
Tarpinian,1
Taslakian,1
Tjeknavorian,1
Topalian,1
Torigian,1
Torossian,1
Toumanian,1
Tufenkian,1
Vartanian,1
Vartoogian,1
Virabyan,1
Vosgrichian,1
Yardumian,1
Yeghiayan,1
Yeghiazarian,1
Yeghoyan,1
Yerevanian,1
Zakaryan,1
Zakoyan,1
Zeitunian,1
Zeitunlian,1
Zentuntsian,1
Zildjian,1
Ziririan,1
Zornakyan,1
