Name,Frequency
Aaron,1
Adam,1
Adrian,1
Alexander,1
Andreas,1
Anton,1
Bastian,1
Ben,1
Benedikt,1
Benjamin,1
Christian,1
Christoph,1
Clemens,1
Constantin,1
Daniel,1
David,1
Dominik,1
Elias,1
Emil,1
Emilio,1
Erik,1
Fabian,1
Fabio,1
Felix,1
Filip,1
Finn,1
Florian,1
Gabriel,1
Gregor,1
Hannes,1
Jakob,1
Jamie,1
Jan,1
Jannik,1
Joel,1
Johannes,1
Jonas,1
Jonathan,1
Josef,1
Kilian,1
Konstantin,1
Laurenz,1
Laurin,1
Lenny,1
Leo,1
Leon,1
Leonard,1
Leonhard,1
Leopold,1
Levi,1
Liam,1
Linus,1
Lorenz,1
Louis,1
Luca,1
Lucas,1
Luis,1
Luka,1
Lukas,1
Manuel,1
Marc,1
Marcel,1
Marco,1
Mario,1
Markus,1
Martin,1
Marvin,1
Matheo,1
Matteo,1
Matthias,1
Max,1
Maximilian,1
Michael,1
Nick,1
Niklas,1
Nino,1
Noah,1
Noel,1
Oliver,1
Oskar,1
Pascal,1
Patrick,1
Paul,1
Peter,1
Philip,1
Philipp,1
Rafael,1
Raphael,1
Robin,1
Samuel,1
Sandro,1
Sebastian,1
Simon,1
Stefan,1
Theo,1
Theodor,1
Thomas,1
Tim,1
Timo,1
Tom,1
Valentin,1
Viktor,1
Vincent,1
Xaver,1
