Name,Frequency
Abbasqulu,1
Adil,1
Agil,1
Allahverdi,1
Anar,1
Arif,1
Asif,1
Asiman,1
Aslan,1
Aüamusa,1
Aüamÿli,1
Azər,1
Baba,1
Bakir,1
Bilal,1
Bÿhaulla,1
Cabbar,1
Cahan,1
Cavad,1
Cavid,1
Ceymur,1
Ceyxun,1
Cəlal,1
Elariz,1
Elçin,1
Elxan,1
Emin,1
Etibar,1
Eyyub,1
Əhmad,1
Famil,1
Fazil,1
Fəxri,1
Firudin,1
Fÿrid,1
Fÿrxad,1
Gülaüa,1
Gündüz,1
Hafiz,1
Haydÿr,1
Həci,1
Həsən,1
Hümbət,1
Hüseyn,1
Hüseynqulu,1
Hÿmid,1
İbiş,1
İbrahim,1
İlham,1
İlqar,1
İlyas,1
İmam,1
İmran,1
İnqlab,1
İntiqam,1
İsa,1
İsgÿndÿr,1
İsmayil,1
İsmət,1
İxtiyar,1
İzzÿt,1
Kamal,1
Kamil,1
Karlen,1
Kaz,1
Kəmran,1
Kənan,1
Mahir,1
Maqsud,1
Mehdi,1
Mənsur,1
Mikayıl,1
Mirəli,1
Mirzÿ,1
Mübariz,1
Murad,1
Müzÿffar,1
Mÿmmÿd,1
Naği,1
Namiq,1
Nazim,1
Nəcəf,1
Nərmin,1
Nəsimi,1
Nicat,1
Niyaz,1
Nizami,1
Nübar,1
Nürÿddin,1
Nüsrət,1
Oqtay,1
Orxan,1
Orxun,1
Osman,1
Paşa,1
Qabil,1
Qasim,1
Qiyas,1
Qoşqar,1
Qulam,1
Rafael,1
Rafiq,1
Ramiz,1
Rasim,1
Rəis,1
Riza,1
Rüfət,1
Rüstÿm,1
Sabir,1
Sadix,1
Salman,1
Şamil,1
Samir,1
Şamxal,1
Seyfulla,1
Seyran,1
Səlahəddin,1
Sərvan,1
Sərvər,1
Sərxan,1
Şirin,1
Şirzad,1
ßləkbər,1
ßlÿsgÿr,1
ßmin,1
ßnvÿr,1
ßsgÿr,1
ßşrÿf,1
Şükür,1
Süleyman,1
Surxey,1
Sÿbuhi,1
Şÿfa,1
Sÿmÿd,1
Şÿrÿfaddin,1
Tahir,1
Taqor,1
Teymur,1
Teymuraz,1
Teymurçin,1
Tofiq,1
Tural,1
Turan,1
Tÿrlan,1
Űlvi,1
Űmid,1
Vadim,1
Valeh,1
Valid,1
Vaqif,1
Vüqar,1
Vüsal,1
Vÿli,1
Xalid,1
Xaliq,1
Xankişi,1
Xanlar,1
Xÿlil,1
Yunis,1
Zakir,1
Zaman,1
Zamin,1
Zamir,1
Zaur,1
Zeynal,1
Zeynulla,1
Ziya,1
