Name,Frequency
Abbassoy,1
Abdulin,1
Abdullayev,1
Abdulov,1
Abdurrahimov,1
Abiyev,1
Afandiyev,1
Ağahadizadə,1
Aghababayev,1
Aghamaliyev,1
Aghamedhiyev,1
Aghanazarov,1
Ahadov,1
Ahmadov,1
Akbarov,1
Arablinski,1
Ariflu,1
Asimangil,1
Asimanlü,1
Aslanov,1
Aüamÿligil,1
Azərlü,1
Babagil,1
Babayev,1
Baghirov,1
Bahlulov,1
Başirli,1
Baylarbayov,1
Bayramlü,1
Bilalsoy,1
Cavidoğlu,1
Cəlilgil,1
Eldÿnizlu,1
Elmanli,1
Elmanlü,1
Elmansoy,1
Əbdűləligil,1
Əbűlhəsəngil,1
Əkbərli,1
Əkbəroğlu,1
Ərtoğrullı,1
Fattahov,1
Fazilgil,1
Fuadlı,1
Fÿridzadə,1
Gambarov,1
Garakhanov,1
Garayev,1
Gasimov,1
Gayibov,1
Gaziyev,1
Gharabaghi,1
Gülaüali,1
Gülaüaoğlu,1
Hagverdiyev,1
Hajibabayev,1
Hajibeyov,1
Hajiyev,1
Haydÿrgil,1
Heybatov,1
Hidayatov,1
Humbatov,1
İbişzadə,1
Ibragimov,1
Ibrahimbeyov,1
İbrahimli,1
İbrahimoğlu,1
Ibrahimov,1
İbrahimzadə,1
İlkinli,1
İmranlü,1
İslamlü,1
İsmayillı,1
Ismayilov,1
İsmətli,1
İxtiyarsoy,1
İzzÿtoğlu,1
Jabbarov,1
Jabrayilov,1
Jafarov,1
Jalilov,1
Jamilov,1
Janaliyev,1
Javadov,1
Kamallü,1
Karlenlı,1
Kazimov,1
Kəmranlü,1
Khalilov,1
Khanmammadow,1
Kÿrimgil,1
Mahammadov,1
Maharramov,1
Majidov,1
Mammadaliyev,1
Mammadbeyov,1
Mammadguliyev,1
Mammadov,1
Mehdili,1
Mehraliyev,1
Mənaflu,1
Mirgasimov,1
Nabiyev,1
Namiqgil,1
Nəcəfsoy,1
Nəsimigil,1
Nicatli,1
Niyazlu,1
Novruzgil,1
Novruzzadə,1
Nübarlu,1
Nürÿddinlı,1
Orujov,1
Panahov,1
Qiyasgil,1
Qiyaslu,1
Qoşqarlü,1
Qulamlü,1
Rafiqgil,1
Rafiqli,1
Rahimov,1
Sabirgil,1
Sadixgil,1
Sadixlü,1
Salahov,1
Salehgil,1
Salmanlı,1
Salmanov,1
Samirli,1
Seyfullazadə,1
Seyidov,1
Şirinoğlu,1
ßdalatli,1
ßləkbərsoy,1
ßlişli,1
ßsgÿrgil,1
Sÿbuhioğlu,1
Sÿbuhizadə,1
Sÿmÿdzadə,1
Tahirlı,1
Teymurazlü,1
Teymurçinsoy,1
Teymurgil,1
Tunarlı,1
Tunarlü,1
Turanli,1
Turanlü,1
Tÿrlanlı,1
Űlvili,1
Urfansoy,1
Urxanli,1
Üzeyirzadə,1
Vadimgil,1
Vahidzadə,1
Validlu,1
Vasiflü,1
Vazirov,1
Vÿlizadə,1
Xalidli,1
Xankişioğlu,1
Xÿliloğlu,1
Yunisgil,1
Yunissoy,1
Yusifli,1
Yusiflü,1
Zamangil,1
Zeynalsoy,1
