Name,Frequency
Sergey,299
Andrey,255
Aleksandr,248
Dmitriy,230
Vladimir,195
Alexander,169
Pavel,141
Aleksey,115
Evgeniy,114
Denis,112
Dmitry,99
Igor,97
Nikolay,94
Maksim,93
Ivan,91
Artyom,84
Mikhail,81
Nikita,78
Alexey,76
Ilya,76
Oleg,75
Viktor,73
Roman,72
Anton,71
Vadim,71
Kirill,67
Yuriy,65
Maxim,62
Evgeny,59
Vitaliy,57
Egor,42
Vladislav,39
Konstantin,38
Artem,37
Vitaly,35
Stanislav,35
Ruslan,33
Artur,30
Valeriy,28
Yury,28
Vasiliy,25
Sasha,25
Slava,18
Vyacheslav,17
Zhenya,17
Gennadiy,17
Anatoliy,16
Petr,15
Leonid,15
Daniil,14
Vasily,14
Anatoly,12
Eduard,11
Valentin,11
Gleb,11
Valery,10
Danil,10
Yaroslav,10
Danila,9
Yan,8
Timofey,7
Matvey,6
Stepan,6
Bogdan,6
Sanya,6
Arseniy,5
Mark,5
Georgiy,5
Timur,5
Grigoriy,5
Svyatoslav,4
Fyodor,4
Zakhar,3
German,3
Andrei,2
