Name,Frequency
Ivanov,36
Novik,19
Zhuk,18
Moroz,16
Petrov,15
Novikov,14
Kravchenko,12
Kovalenko,12
Makarevich,12
Kovalchuk,12
Karpovich,11
Pashkevich,11
Kozlov,10
Volkov,10
Shevchenko,10
Kotov,10
Klimovich,10
Morozov,10
Smirnov,10
Bondarenko,9
Stankevich,9
Tarasevich,9
Marchenko,8
Zaytsev,8
Lukashevich,8
Kot,8
Savchenko,8
Bogdanovich,8
Pinchuk,7
Kovalyov,7
Boyko,7
Kuzmich,7
Melnik,7
Korol,7
Matskevich,7
Sinkevich,7
Bondar,7
Pavlovich,7
Petrovich,6
Melnikov,6
Kazak,6
Markevich,6
Romanov,6
Borisevich,6
Sidorenko,6
Yushkevich,6
Kovalevich,6
Kozlovsky,6
Zayats,6
Kuznetsov,6
Abramovich,6
Romanenko,6
Dashkevich,6
Yurchenko,6
Sokolov,6
Borisenko,6
Kovalev,6
Rusak,5
Makarenko,5
Adamovich,5
Poznyak,5
Drozd,5
Kozel,5
Ignatovich,5
Khomich,5
Vorobey,5
Kravchuk,5
Romanyuk,5
Baranov,5
Shevchuk,5
Dubovik,5
Vasilevsky,5
Akulich,5
Kisel,5
Romanovich,5
