Name,Frequency
Peeters,41
Janssens,37
Maes,31
Jacobs,25
Mertens,23
Willems,23
Claes,20
Wouters,19
Goossens,19
Dubois,18
de Smet,17
Pauwels,16
Vermeulen,16
Hermans,16
Aerts,15
Michiels,14
Dupont,14
Mertens,13
de Vos,13
Smets,13
Martin,13
van de Velde,13
Desmet,12
Hendrickx,12
van Damme,12
Claeys,12
Devos,12
Janssen,12
Stevens,12
Dumont,11
de Clercq,11
de Backers,11
Sergers,11
Lemmens,11
Leroy,11
van den Broeck,10
Coppens,10
Simon,10
Wauters,10
Laurent,10
Leclerq,10
Renard,9
Denis,9
Verhoeven,9
Lejuene,9
Cools,8
Petit,8
Thomas,8
Lemaire,8
Smet,8
Timmermans,8
de Smedt,8
de Meyer,8
Michel,8
Vandenberghe,8
Thys,8
Bertrand,8
de Ridder,8
Lenaerts,8
Cornelis,8
de Wilde,8
Bauwens,7
de Pauw,7
van den Bossche,7
Mathieu,7
de Bruyne,7
Lukaku,7
Carrasco,7
Courtois,7
Hazard,7
Tielemans,7
Vertongen,7
Alderweireld,7
Kompany,7
Witsel,7
