Name,Frequency
Georgi,169
Ivan,167
Dimitar,127
Nikolay,92
Petar,77
Hristo,62
Yordan,54
Stefan,53
Todor,53
Stoyan,52
Vasil,51
Krasimir,47
Atanas,47
Angel,46
Aleksandar,45
Plamen,42
Nikola,34
Emil,34
Ivaylo,33
Kiril,32
Valentin,32
Iliya,31
Rumen,29
Vladimir,26
Asen,26
Veselin,25
Borislav,23
Petko,22
Mihail,22
Lyubomir,21
Tsvetan,21
Boris,21
Marin,21
Miroslav,21
Kostadin,21
Mitko,19
Martin,19
Radoslav,17
Anton,17
Simeon,16
Rosen,16
Ventsislav,16
Milen,16
Mehmed,15
Stanislav,15
Svetoslav,15
Pavel,14
Ahmed,14
Zhivko,13
Daniel,13
Illiyan,12
Mustafa,12
Valeri,11
Yanko,11
Ivo,11
Boyan,10
Tihomir,10
Bozhidar,10
Evgeni,9
Stanimir,9
Andrey,9
Shenol,9
Ognyan,9
Zdravko,9
Viktor,9
Lyuben,9
Slavcho,8
Dimo,8
Ali,8
Biser,8
Vuliyan,8
Sasho,8
Mladen,8
Galen,8
Konstantin,8
