Name,Frequency
Ivanov,150
Georgiev,103
Dimitrov,99
Petrov,67
Nikolov,58
Stoyanov,55
Hristov,53
Illiev,43
Angelov,42
Atansaov,39
Vasilev,37
Yordanov,36
Petkkov,33
Marinov,31
Kolev,30
Stefanov,25
Mehmed,25
Mihaylov,23
Ahmed,22
Asenov,18
Kostadinov,17
Mustafa,17
Borisov,17
Krastev,16
Kostov,16
Dimov,16
Ali,16
Aleksandrov,15
Mitev,15
Hasan,15
Simeonov,14
Popov,14
Pavlov,13
Yankov,11
Dobrev,11
Markov,10
Tsvetkov,10
Spasov,10
Radev,10
Ismail,10
Lazarov,10
Yusein,9
Mladenov,9
Osman,9
Andreev,9
Rusev,9
Yanev,9
Kirilov,9
Slavov,9
Naydenov,8
Penev,8
Valchev,8
Sali,8
Minchev,7
Halil,7
Andonov,7
Kirov,7
Stoychev,7
Stanchev,7
Mehmedov,7
Hyusein,7
Stanev,7
Tsvetanov,7
Aleksiev,7
Ahmedov,7
Zhelev,7
Zhelyazkov,6
Grigorov,6
Velikov,6
Gospodinov,6
Ibryam,6
Stoev,6
Filipov,6
Panayotov,6
Trifonov,6
