Name,Frequency
Kibangi,1
Kabiyene,1
Ebanda,1
Eyebe,1
Abanda,1
Elamè,1
Abomo,1
Mbassi,1
Matongè,1
Yondo,1
Esoka,1
Dikuta,1
Tébi,1
Malondo,1
Ibrahima,1
Biko,1
Mutanda,1
Pandanjila,1
Ebodé,1
Liama,1
Song,1
Tula,1
Um,1
Zèmbla,1
Fani,1
Dizangé,1
Ewonè,1
Bang,1
Eto'o,1
Kabeya,1
Ebang,1
Elad,1
Obalambo,1
Oyono,1
Etimbia,1
Mokaté,1
Masuka,1
Dina,1
Mbongo,1
Maleka,1
Meba'a,1
Mukongo,1
Malepa,1
Lékunzé,1
Kika,1
Ribana,1
Endeley,1
Libamba,1
Londo,1
Oummoul,1
Kojidie,1
Hamilou,1
Masikini,1
Dalaylou,1
Linda,1
Mbakop,1
Okapi,1
Bikoko,1
Lindi,1
Zanga,1
Nyobé,1
Maigari,1
Kenge,1
Pupina,1
Niété,1
Ngolu,1
Nlend,1
Eyenga,1
Muna,1
Vernyuy,1
Haoua,1
Nzola,1
Ekindi,1
Ebwa,1
Nina,1
Meva'a,1
Mabéa,1
Lèndi,1
Linzenge,1
Kuba,1
Maleta,1
Nawej,1
Akombe,1
Inono,1
Tumi,1
Dipanda,1
Kukabango,1
Ilongè,1
Bandza,1
Bipindi,1
Kalunga,1
Lutumba,1
Ramazani,1
Mbango,1
Maéla,1
Baima,1
Penda,1
Doko,1
Mungo,1
Elombè,1
Mulondo,1
Kòsi,1
Esapi,1
Bibang,1
Ntolo,1
Manga,1
Endalè,1
Embolo,1
Halidou,1
Zola,1
Mputu,1
Mbèndé,1
Nouroudini,1
Obama,1
Nkumu,1
Dibumbè,1
Ekangaki,1
Likoki,1
Ekoto,1
Ewaso,1
Ngulu,1
Sidiki,1
Tshimpaka,1
Ewanè,1
Diboko,1
Kamuanya,1
Etamè,1
Esanji,1
Kabongo,1
Maéva,1
Kalemba,1
Kwasi,1
Eyango,1
Pongo,1
Tsangaa,1
Dumè,1
Ntumba,1
Farikou,1
Obito,1
Abega,1
Akwa,1
Tsukulu,1
Omokoko,1
Eyene,1
Limpopo,1
Susungi,1
Etémé,1
Tanaka,1
Mukadi,1
Wendi,1
Lotè,1
Elimbi,1
Astajam,1
Lolango,1
Bangwé,1
Alima,1
Sadiya,1
Dia,1
Dimonekene,1
Edimo,1
Magouie,1
Bona,1
Ouandié,1
Etondè,1
Nyobè,1
Mushiya,1
Ebènyè,1
Massamba,1
Kabanga,1
Kamba,1
Numpuby,1
Mukala,1
Embola,1
Malembe,1
Abba,1
Mpesa,1
Buzitu,1
Nkwai,1
Ngu,1
Nde,1
Bongo,1
Biya,1
Yumè,1
Houmma,1
Lihuli,1
Mukendi,1
Fako,1
Ngalula,1
Matombo,1
Mokonzo,1
Mpeya,1
Nyassa,1
Ngalè,1
Lina,1
Dika,1
Njoh,1
Kabange,1
Kanyeba,1
Mulongo,1
Ambassa,1
Penja,1
Moseka,1
Poso,1
Loukmana,1
Mabwang,1
Kaluba,1
Belka,1
Youlou,1
Ezua,1
Nzoumba,1
Kiatoko,1
Halilou,1
Saïdou,1
Dibango,1
Onyumbe,1
