Name,Frequency
Smith,20
Brown,11
Tremblay,11
Martin,9
Roy,9
Gagnon,9
Lee,9
Wilson,8
Johnson,8
MacDonald,8
Taylor,7
Campbell,7
Anderson,7
Jones,7
Leblanc,7
Cote,7
Williams,7
Miller,6
Thompson,6
Gauthier,6
White,6
Morin,6
Wong,6
Young,6
Bouchard,5
Scott,5
Stewart,5
Pelletier,5
Lavoie,5
Robinson,5
Moore,5
Belanger,5
Singh,5
Fortin,5
Levesque,5
Chan,5
Reid,4
Ross,4
Clark,4
Johnston,4
Walker,4
Thomas,4
King,4
Gagne,4
Bergeron,4
Li,4
Boucher,4
Landry,4
Poirier,4
Murray,4
Murphy,4
McDonald,4
Wright,4
Richard,4
Mitchell,4
Girard,4
Clarke,4
Davis,4
Simard,4
Kelly,4
Lewis,4
Graham,4
Caron,4
Wang,4
Fraser,4
Fournier,4
Jackson,3
Beaulieu,3
Wood,3
Hall,3
Baker,3
Chen,3
Hill,3
Harris,3
Green,3
Roberts,3
Lapointe,3
Bell,3
Ouellet,3
Patel,3
Watson,3
Kennedy,3
Cloutier,3
Robertson,3
Allen,3
Lefebvre,3
Nguyen,3
Hamilton,3
Desjardins,3
Adams,3
Gill,3
Khan,3
Cameron,3
Morrison,3
Dube,3
Evans,3
Grant,3
Nadeau,3
Zhang,3
Peters,3
Armstrong,3
Phillips,3
Hebert,3
Cook,3
Poulin,3
Liu,3
Michaud,3
Kim,3
Martel,3
Edwards,3
Turner,3
Nelson,3
Bennett,3
Cooper,3
Ferguson,3
Gray,3
Paquette,3
Marshall,3
Cormier,3
Simpson,3
Harvey,3
McLean,3
Collins,3
Leclerc,3
Bedard,3
Grenier,3
Russell,3
Couture,3
Lessard,2
Cyr,2
Ward,2
Shaw,2
Boudreau,2
Bernier,2
Lambert,2
Lalonde,2
Friesen,2
Blais,2
Proulx,2
Morris,2
Arsenault,2
Parker,2
Henderson,2
Demers,2
Gilbert,2
Hunter,2
Gallant,2
Davidson,2
Dupuis,2
Elliott,2
Walsh,2
Turcotte,2
Lemieux,2
Harrison,2
Lachance,2
Carter,2
Richardson,2
Beaudoin,2
James,2
Foster,2
Gosselin,2
MacKenzie,2
Gordon,2
Fisher,2
Hughes,2
Parent,2
Theriault,2
Lam,2
Rogers,2
Perron,2
Gibson,2
Ryan,2
Morgan,2
Langlois,2
Savard,2
Perreault,2
Patterson,2
Thibault,2
McLeod,2
Bailey,2
Mercier,2
McKay,2
Villeneuve,2
St-Pierre,2
Raymond,2
Thomson,2
Dion,2
Fortier,2
Charbonneau,2
Bernard,2
Robert,2
Dubois,2
Giroux,2
Leung,2
Dufour,2
Schmidt,2
Paradis,2
Black,2
Davies,2
Ouellette,2
Houle,2
MacLeod,2
Menard,2
Rose,2
Champagne,2
Plante,2
Mills,2
Benoit,2
Tran,2
MacLean,2
Leduc,2
Boisvert,2
Wu,2
Allard,2
Legault,2
Hamel,2
Wiebe,2
Stevens,2
Berube,2
Lemay,2
Lacroix,2
Rousseau,2
Labelle,2
Renaud,2
Bolduc,2
Klassen,2
Paul,2
Parsons,2
Bertrand,2
Perry,2
Bilodeau,2
Henry,2
Ellis,2
Ng,2
Wallace,2
Burns,2
Mason,2
Hunt,2
Park,2
Ho,2
Fontaine,2
Seguin,2
Therrien,2
Andrews,2
Crawford,2
Butler,2
Brooks,2
Gervais,2
Kerr,2
Yu,2
Dyck,2
Yang,2
Alexander,2
Price,2
Burke,2
Saunders,2
Boivin,2
McKenzie,2
O'Brien,2
Tessier,2
Richards,2
Lawrence,2
Holmes,2
Dionne,2
Goulet,2
Sullivan,2
Power,2
Cole,2
Guay,2
Lepage,2
Lauzon,2
MacKay,2
Ali,2
Vincent,2
Huang,2
Vachon,2
Robichaud,2
Doucet,2
Jacques,2
Dunn,2
Gravel,2
Picard,2
Noel,2
Doyle,2
Matthews,2
Carrier,2
Paquet,2
Moreau,2
Larocque,2
Peterson,2
Chapman,2
Sinclair,2
Palmer,2
Sutherland,2
Duncan,2
Cox,2
Stevenson,2
Pilon,2
Vaillancourt,2
Craig,1
Porter,1
Savoie,1
Jean,1
Godin,1
Chartrand,1
Mann,1
Page,1
Comeau,1
Cheung,1
Boyd,1
Daigle,1
Desrosiers,1
George,1
Sharma,1
Trudel,1
Hart,1
Penner,1
Wells,1
Robitaille,1
Pearson,1
Rioux,1
Lapierre,1
Hansen,1
Francis,1
Dumont,1
Charron,1
Ford,1
Douglas,1
Fox,1
Gingras,1
Woods,1
Dixon,1
Warren,1
Lau,1
Barnes,1
Chow,1
Spencer,1
Gendron,1
Lin,1
Reynolds,1
Marchand,1
Audet,1
Jensen,1
Lavigne,1
Cunningham,1
McIntyre,1
Bourque,1
Lavallee,1
Bradley,1
Deschenes,1
Tang,1
MacKinnon,1
Larouche,1
Powell,1
Dawson,1
Long,1
Cheng,1
Currie,1
Fleming,1
Potvin,1
Drouin,1
Laplante,1
Gaudet,1
Knight,1
Olson,1
Hayes,1
Webb,1
Carriere,1
Ahmed,1
Paquin,1
Payne,1
Thibodeau,1
Bishop,1
Wall,1
Beauchamp,1
Chabot,1
Laflamme,1
Pare,1
Brunet,1
Blanchard,1
Little,1
West,1
Howard,1
Lussier,1
Tardif,1
Nicholson,1
Burton,1
Day,1
Boutin,1
Blanchette,1
McCarthy,1
Duguay,1
Chung,1
Wagner,1
Atkinson,1
Williamson,1
Bourgeois,1
Breton,1
Barrett,1
Pepin,1
Auger,1
Turgeon,1
Hardy,1
Chang,1
Desrochers,1
McLaughlin,1
Rivard,1
Ma,1
Chouinard,1
