Name,Frequency
Novák,28
Svoboda,26
Novotný,24
Dvořák,20
Černý,17
Procházková,14
Veselý,12
Horák,12
Krejčí,11
Marek,11
Pokorná,10
Pospíšil,10
Hájek,10
Benešová,9
Beneš,9
Fialová,9
Král,9
Zeman,9
Doležalová,9
Sedláček,8
Doležal,8
Navrátil,8
Urban,8
Čermák,8
Jelínek,7
Němec,7
Novak,7
Blažek,7
Musil,7
Kříž,7
Vlček,7
Kadlec,6
Kopecký,6
Holub,6
Bartoš,6
Malý,6
Vaněk,6
Soukup,6
Šimek,6
Štěpánek,6
Moravec,6
Konečný,6
Šťastný,6
Polák,6
Tichý,5
Müller,5
Matoušek,5
Kolář,5
Kovář,5
Mareš,5
Mach,5
Mašek,5
Dušek,5
Staněk,5
Havlíček,5
Toman,5
Beran,5
Vacek,5
Souček,5
Vitík,5
Schick,5
Karabec,5
Hložek,5
Čech,5
Stejskal,4
Martinek,4
Macháček,4
Pavlík,4
Švec,4
Strnad,4
Ševčík,4
Sedlák,4
Ježek,4
Jaroš,4
Slavík,4
