Name,Frequency
Aage,1
Adam,1
Aksel,1
Alex,1
Alexander,1
Allan,1
Anders,1
Anker,1
Arne,1
Arnold,1
Arthur,3
Asbjørn,1
Asmus,1
Axel,1
Bendt,1
Benny,1
Bent,1
Bernt,1
Birger,1
Bjarke,1
Bjørn,1
Børge,1
Boye,1
Bruno,1
Carl,1
Carsten,1
Christoffer,1
Christopher,1
Dan,2
Danny,1
Dennis,1
Ditlev,1
Egon,1
Eigil,1
Ejnar,1
Ejvind,1
Elias,1
Elmer,1
Elo,1
Erik,1
Erland,1
Erling,1
Ernst,1
Eskild,1
Felix,1
Filip,1
Finn,1
Flemming,1
Frank,1
Frede,1
Frederik,1
Fritz,1
Georg,1
Germund,1
Gert,1
Gorm,1
Gregers,1
Gunnar,1
Gustav,1
Hans,1
Harry,1
Henning,1
Henry,1
Hjalmar,1
Holger,1
Hugo,1
Jan,1
Jannik,1
Janus,1
Jeppe,1
Jes,1
Jesper,1
Jim,2
Jimmy,1
Johan,1
Johannes,1
Johnny,1
Jon,1
Jonathan,1
Jørgen,1
Julius,1
Kaj,1
Karl,1
Kasper,1
Keld,1
Kenn,1
Kenneth,1
Kjeld,1
Klaus,1
Knud,1
Kresten,1
Kristian,1
Kristoffer,1
Kurt,1
Lasse,1
Lau,1
Lauritz,1
Leo,1
Ludvig,1
Mads,1
Malthe,1
Marcus,1
Marius,1
Mark,1
Michael,1
Mikael,1
Morten,1
Nichlas,1
Nick,1
Nicolai,1
Nicolaj,1
Niels,1
Niklas,1
Nikolai,1
Nis,1
Noah,1
Olaf,1
Ole,1
Oliver,1
Osvald,1
Otto,1
Ove,1
Palle,1
Patrick,1
Paul,1
Per,1
Philip,1
Poul,1
Preben,1
Robert,2
Rolf,1
Ronnie,1
Sebastian,1
Sigurd,1
Silas,1
Simon,1
Sophus,1
Søren,1
Steen,1
Stefan,1
Steffen,1
Stig,1
Storm,1
Sune,1
Svend,1
Tage,1
Teddy,1
Thomas,1
Thor,1
Thorbjørn,1
Thorkild,1
Thorvald,1
Thyge,1
Tim,1
Toke,1
Tom,2
Tonny,1
Torben,1
Torkild,1
Torsten,1
Troels,1
Tue,1
Uffe,1
Ulrik,1
Vagn,1
Valdemar,1
Verner,1
Victor,1
Viktor,1
Villy,1
William,1
