Name,Frequency
Aagaard,1
Abildgaard,1
Abrahamsen,1
Adamsen,1
Albrechtsen,1
Andersen,2
Andreasen,1
Asmussen,1
Axelsen,1
Balle,1
Bang,2
Bech,1
Beck,1
Bendixen,1
Bentsen,1
Bertelsen,1
Berthelsen,1
Birk,4
Bisgaard,1
Bjerg,1
Bjerre,1
Bjerregaard,1
Boesen,2
Borg,1
Borup,1
Brandt,1
Brix,1
Brodersen,1
Brøndum,1
Bruun,1
Buch,1
Carlsen,1
Carstensen,1
Caspersen,1
Christensen,1
Clemmensen,1
Dalgaard,1
Dall,1
Damgaard,1
Damsgaard,1
Daugaard,1
Davidsen,1
Degn,1
Dinesen,1
Due,1
Duus,1
Ebbesen,1
Erichsen,1
Eriksen,1
Espersen,1
Fabricius,1
Fisker,1
Frandsen,1
Frank,1
Frederiksen,1
Frost,1
Fuglsang,1
Gade,1
Gram,1
Gregersen,1
Greve,1
Haagensen,1
Hald,1
Hammer,1
Hartmann,1
Haugaard,1
Hemmingsen,1
Henningsen,1
Henriksen,1
Hermansen,1
Hjort,1
Hjorth,1
Hoffmann,1
Høgh,1
Holst,1
Høyer,1
Hviid,1
Ibsen,1
Isaksen,1
Iversen,1
Jacobsen,1
Jakobsen,1
Jansen,1
Jensen,1
Jeppesen,1
Jepsen,1
Johannessen,1
Johansen,1
Johnsen,1
Karlsen,3
Kirk,1
Kirkegaard,1
Kjær,3
Kjeldsen,1
Koch,1
Kofod,1
Kofoed,1
Korsgaard,1
Kragh,1
Kristensen,1
Kristiansen,1
Kristoffersen,1
Krog,1
Krogh,1
Kruse,1
Kvist,1
Lange,1
Laugesen,1
Lauridsen,1
Lauritzen,1
Lind,1
Lindberg,1
Lund,1
Magnussen,1
Marcussen,1
Markussen,1
Martinsen,1
Mathiasen,1
Mathiesen,1
Meldgaard,1
Michaelsen,2
Michelsen,1
Mikkelsen,1
Mogensen,1
Mølgaard,1
Møller,1
Mørch,1
Mørk,1
Mouritsen,1
Munk,1
Nedergaard,1
Nikolajsen,1
Nissen,1
Nørgaard,1
Nygaard,1
Olsen,1
Ottesen,1
Ottosen,1
Pallesen,1
Paulsen,1
Philipsen,1
Pihl,1
Poulsen,1
Povlsen,1
Rask,1
Riis,1
Rohde,1
Schmidt,1
Simonsen,1
Skovgaard,1
Sloth,1
Smidt,2
Søgaard,1
Sommer,1
Søndergaard,1
Sørensen,1
Steen,1
Steffensen,3
Svane,1
Svenningsen,1
Therkelsen,1
Therkildsen,1
Thøgersen,1
Thomasen,1
Thomassen,1
Thorsen,1
Thrane,1
Toft,1
Torp,1
Troelsen,1
Vester,1
Vestergaard,1
Villadsen,1
Vinther,1
Westergaard,1
Wulff,1
