Name,Frequency
Abadi,1
Abboud,1
Al,1
Almasi,1
Amari,1
Antar,1
Antoun,1
Arian,1
Asghar,1
Asker,1
Assaf,1
Aswad,1
Atiyeh,1
Attia,1
Ba,1
Baba,1
Bahar,1
Bata,1
Bazzi,1
Bishara,1
Bitar,1
Botros,1
Boulos,1
Boutros,1
Cham,1
Dagher,1
Daher,1
Deeb,1
El,1
Essa,1
Fakhoury,1
Gaber,1
Ganem,1
Ganim,1
Gerges,1
Ghanem,1
Ghannam,1
Guirguis,1
Hadad,1
Haddad,1
Haik,1
Hajjar,1
Halabi,1
Hanania,1
Handal,1
Harb,1
Isa,1
Issa,1
Kalb,1
Kassab,1
Kassis,1
Kattan,1
Khouri,1
Khoury,1
Koury,1
Maloof,1
Malouf,1
Mansour,1
Maroun,1
Masih,1
Mifsud,1
Mikhail,1
Moghadam,1
Morcos,1
Mubarak,1
Mustafa,1
Nader,1
Nahas,1
Naifeh,1
Najjar,1
Naser,1
Nassar,1
Nazari,1
Quraishi,1
Qureshi,1
Rahal,1
Sabbag,1
Sabbagh,1
Safar,1
Said,1
Salib,1
Saliba,1
Samaha,1
Sarkis,1
Sarraf,1
Sayegh,1
Seif,1
Shadid,1
Shalhoub,1
Shammas,1
Shamon,1
Shamoun,1
Sleiman,1
Srour,1
Tahan,1
Tannous,1
Toma,1
Totah,1
Touma,1
Tuma,1
Zogby,1
