Name,Frequency
Aabel,1
Aarne,1
Agu,1
Ain,1
Aivo,1
Albert,1
Allan,1
Andre,2
Anton,1
Arno,1
Eedo,1
Egert,1
Elias,1
Elmar,2
Enno,1
Evert,1
Feliks,1
Hannes,1
Hardi,1
Heiki,1
Heiti,1
Henri,1
Iisak,1
Innar,1
Ivari,1
Ivo,1
Jaagup,1
Jaan,1
Jakob,1
Joel,1
Joonas,1
Joonatan,1
Jukk,1
Jurjo,1
Juss,1
Kaarel,1
Kaido,1
Kardo,1
Kaur,1
Kermo,1
Koit,1
Kristen,2
Kristofer,1
Kusta,1
Laur,1
Lembit,1
Margus,1
Mario,1
Matteus,1
Mattias,1
Mehis,1
Mikk,1
Neeme,1
Olari,1
Olavi,1
Olev,1
Oliver,1
Paul,1
Peetrus,1
Priidu,1
Raigo,1
Raiko,1
Raimo,1
Raimond,1
Rainer,1
Raivo,1
Raul,1
Rene,1
Rihard,1
Riho,1
Robin,1
Romet,1
Roomet,1
Silver,1
Sven,3
Taavo,1
Tauri,1
Timmo,1
Timo,1
Tonu,1
Toomas,1
Ulari,1
Ullar,1
Ullo,1
Uudo,1
Vahur,1
Vaino,1
Valentin,1
Veiko,1
Veljo,1
Vello,1
