Name,Frequency
Aare,1
Aasmae,1
Aavik,1
Allik,1
Alver,1
Eenpalu,1
Eskola,1
Ilves,1
Janes,1
Jogi,1
Kabin,1
Kalda,1
Kaljurand,2
Kallas,1
Kallaste,1
Kangro,1
Kapp,1
Kask,1
Kass,2
Keskkula,1
Keskula,1
Kirsipuu,1
Kivi,1
Klavan,2
Koiv,1
Korjus,1
Kotka,1
Kross,1
Kukk,1
Kuusik,1
Kuusk,1
Laar,1
Laas,1
Laht,1
Laurits,1
Leok,1
Lepmets,1
Lepp,1
Levandi,1
Lill,1
Lippmaa,1
Lohmus,1
Looke,1
Magi,1
Malk,1
Mand,1
Mannik,1
Mark,2
Masing,1
Meri,1
Mets,1
Must,1
Nurme,1
Nurmsalu,1
Oja,1
Opik,1
Orav,1
Paasuke,1
Padar,1
Parn,1
Part,1
Peebo,1
Pihlak,1
Piip,1
Puhvel,1
Puusepp,1
Raud,1
Rebane,1
Rootare,1
Rummo,1
Ruutel,1
Ruutli,1
Saar,1
Sepp,1
Sibul,1
Sirel,2
Sisask,1
Sokk,1
Soosaar,1
Tamm,1
Teder,1
Toom,1
Vaher,1
Vaino,1
Valbe,1
Valjas,1
Valk,1
Vesik,1
Viiding,1
Vosu,1
