Name,Frequency
Abdel,1
Abdikarim,1
Abdu,1
Abebaw,1
Abebe,1
Abenet,1
Abera,1
Abeselome,1
Abey,1
Addis,1
Adinew,1
Adisu,1
Admassu,1
Alem,1
Alemayehu,1
Aman,1
Amare,1
Amensisa,1
Amha,1
Araya,1
Arefani,1
Aron,1
Asamenew,1
Ashenafi,1
Asmelash,1
Asrat,1
Asres,1
Assefa,1
Atatafi,1
Atikem,1
Ayele,1
Ayene,1
Azmera,1
Bahta,1
Baslios,1
Bazin,1
Beca,1
Bekila,1
Belachew,1
Belayneh,1
Belendia,1
Benti,1
Berehanu,1
Berhe,1
Berihu,1
Beryihun,1
Bezuayehu,1
Biruh,1
Bitwoded,1
Boru,1
Brehan,1
Bsrat,1
Bzuayehu,1
Cherenebereck,1
Chernebereck,1
Dagim,1
Dagmawi,1
Danichew,1
Darge,1
Dawit,1
Debebe,1
Degu,1
Dejen,1
Dejene,1
Demeke,1
Demessie,1
Demissie,1
Dereje,1
Desta,1
Dibaba,1
Edris,1
Einku,1
Eleazar,1
Elias,1
Elshaday,1
Ephraim,1
Ephram,1
Ephrem,1
Ermias,1
Esra,1
Essayas,1
Etefu,1
Eyoab,1
Eyob,1
Ezkeiel,1
Fassilidas,1
Fekadu,1
Feleke,1
Finhas,1
Fisahaye,1
Fisseha,1
Fsiha,1
Galawdeyos,1
Gebrekristos,1
Gebreselassie,1
Gedeyon,1
Getachew,1
Getahun,1
Gidada,1
Giday,1
Gorfu,1
Goytom,1
Gukssa,1
Habtamu,1
Hadgu,1
Hakim,1
Henoke,1
Hezekiah,1
Issa,1
Iyoas,1
Jember,1
Kahsu,1
Kaleyesus,1
Kassa,1
Ketema,1
Kirubel,1
Legesse,1
Lemuel,1
Leul,1
Liben,1
Mamo,1
Markos,1
Masresha,1
Meba,1
Medr,1
Mekdem,1
Mekonen,1
Mekonnen,1
Mekuria,1
Melaku,1
Melech,1
Melesse,1
Melku,1
Melos,1
Menas,1
Menasse,1
Merhawi,1
Meseret,1
Mesfin,1
Mignote,1
Mike,1
Misgina,1
Mitiku,1
Motuma,1
Mulualem,1
Mulugeta,1
Mussie,1
Nahom,1
Nahum,1
Nazwari,1
Nebiyou,1
Nega,1
Negasi,1
Negasso,1
Nerayo,1
Oromo,1
Petros,1
Rada,1
Raphel,1
Rediat,1
Retta,1
Ruphael,1
Seife,1
Selassie,1
Sirak,1
Sitotaw,1
Siyoum,1
Susenyos,1
Susnios,1
Tabor,1
Tadesse,1
Tamrat,1
Teka,1
Temesgen,1
Teodros,1
Tesfa,1
Tesfaye,1
Tesheme,1
Teshome,1
Tewodros,1
Tsega,1
Tsegaye,1
Wagaye,1
Wedu,1
Wendimu,1
Werkneh,1
Wolitigna,1
Yaaseen,1
Yaee,1
Yafet,1
Yemane,1
Yessuf,1
Yideg,1
Yieshak,1
Yilema,1
Yitay,1
Yosef,1
Zalelew,1
Zekulu,1
Zelalem,1
Zere,1
Zeru,1
Zewedu,1
