Name,Frequency
Abal,1
Abay,1
Abdi,1
Abdikarim,1
Abdimelech,1
Abdu,1
Abebe,1
Abenet,1
Abesalom,1
Abey,1
Addis,1
Admassu,1
Adugna,1
Afewerek,1
Afework,1
Afeworki,1
Aklilu,1
Alazar,1
Alem,1
Alemu,1
Alengae,1
Ali,1
Amanuel,1
Amensisa,1
Amha,1
Amir,1
Anom,1
Anwar,1
Araya,1
Arefani,1
Aregawi,1
Asrat,1
Assefa,1
Assi,1
Atikem,1
Awash,1
Azim,1
Azmera,1
Barnabas,1
Bazin,1
Befikadu,1
Bekila,1
Belachew,1
Benyam,1
Bereket,1
Berhe,1
Bessufekad,1
Bona,1
Boru,1
Brehane,1
Brehanu,1
Bullo,1
Cherenebereck,1
Chirkos,1
Dagmawi,1
Daniachew,1
Daniel,1
Dawit,1
Dejene,1
Demissie,1
Dereje,1
Dessalegne,1
Dibaba,1
Eba,1
Eezkias,1
Ejigu,1
Elesbaan,1
Emerta,1
Endale,1
Ephraim,1
Ephram,1
Ephrem,1
Eskinder,1
Essayas,1
Etefu,1
Eyasu,1
Eyoab,1
Eyob,1
Ezera,1
Fasika,1
Fassilidas,1
Feleke,1
Finhas,1
Frayzer,1
Fsiha,1
Gabra,1
Galawdeyos,1
Gebrekristos,1
Gebriael,1
Gedarm,1
Getachew,1
Gezaee,1
Girmai,1
Girum,1
Godefai,1
Goliad,1
Gorfu,1
Goytom,1
Gukssa,1
Gulema,1
Habtamu,1
Hadgu,1
Hagos,1
Haider,1
Iskinder,1
Issa,1
Iyoas,1
Jember,1
Joas,1
Kabede,1
Kahsai,1
Kahsu,1
Kalu,1
Kayin,1
Kelile,1
Keya,1
Kidane,1
Lemuel,1
Leul,1
Liben,1
Markos,1
Masresha,1
Meba,1
Mebreatu,1
Mekbib,1
Mekuria,1
Meles,1
Melos,1
Menasse,1
Mengesha,1
Mengistu,1
Merhawi,1
Mesay,1
Mesfin,1
Mignote,1
Mihret,1
Mike,1
Mikias,1
Mirtus,1
Misgina,1
Mulualem,1
Mulugeta,1
Mussie,1
Nahum,1
Nataye,1
Nebiyou,1
Negasi,1
Neguse,1
Nerayo,1
Noab,1
Obi,1
Oromo,1
Paulos,1
Rada,1
Rediat,1
Retta,1
Roni,1
Ruphael,1
Selam,1
Senay,1
Sentayhu,1
Shale,1
Shawel,1
Sisay,1
Sitotaw,1
Susnios,1
Tabor,1
Tadeioes,1
Tadesse,1
Tamrat,1
Tamru,1
Tariku,1
Tedros,1
Teka,1
Teklile,1
Teklu,1
Temesgen,1
Tesfa,1
Tesfahun,1
Tesfai,1
Tesfaye,1
Teshale,1
Tesheme,1
Tewodros,1
Tewolde,1
Theofeleios,1
Tiruneh,1
Tsegaye,1
Wagaye,1
Wakeyo,1
Wandafera,1
Wedu,1
Werkneh,1
Wolitigna,1
Yaaseen,1
Yacobe,1
Yaee,1
Yared,1
Yeneneh,1
Yieshak,1
Yihun,1
Yisake,1
Yitbarek,1
Yohannes,1
Zalelew,1
Zeki,1
Zelalem,1
Zema,1
Zeru,1
Zewedu,1
