Name,Frequency
Matti,62
Timo,57
Juha,55
Kari,52
Pekka,50
Jari,46
Jukka,45
Markku,44
Antti,44
Mikko,43
Hannu,41
Heikki,41
Seppo,40
Mika,38
Ari,33
Pentti,32
Erkki,33
Janne,29
Petri,29
Jorma,29
Marko,28
Raimo,26
Risto,25
Sami,25
Harri,25
Jarmo,24
Pertti,24
Ville,23
Martti,22
Reijo,22
Eero,22
Pasi,22
Esa,21
Jani,21
Esko,21
Lauri,21
Jaako,21
Arto,21
Jouko,21
Jouni,20
Veikko,20
Juhani,19
Vesa,19
Teemnu,18
Kimmo,18
Olli,17
Tapio,17
Tero,15
Markus,15
Toni,14
Tomi,14
Tommi,14
Ilkka,14
Tuomas,13
Pauli,13
Tuomo,13
Jarkko,12
Juho,12
Keijo,12
Kalevi,11
Niko,11
Olavi,11
Jyriki,11
Joni,11
Henri,10
Kalle,10
Kauko,10
Mauri,10
Lasse,10
Simo,10
Eino,10
Erik,9
Hanno,9
Aleksi,9
Kai,8
