Name,Frequency
Korhonen,24
Virtanen,23
Nieminen,21
Mäkinen,21
Hämäläinen,19
Mäkelä,19
Laine,18
Heikkinen,18
Koskinen,17
Lehtonen,16
Järvinen,16
Lehtinen,15
Saarinen,15
Salminen,14
Heinonen,14
Heikkilä,14
Niemi,14
Salonen,14
Laitinen,14
Turunen,13
Kinnunen,13
Tuominen,13
Savolainen,13
Salo,13
Rantanen,12
Jokinen,12
Miettinen,12
Mattila,12
Karjalainen,12
Räsänen,11
Ahonen,11
Lahtinen,11
Pitkänen,10
Hiltunen,10
Ojala,10
Leppänen,10
Aaltonen,10
Leinonen,9
Kallio,9
Väisänen,9
Anttila,9
Mustonen,9
Hakala,9
Laaksonen,9
Manninen,9
Koivisto,9
Lehto,9
Laakso,9
Hirvonen,9
Toivonen,9
Kettunen,9
Hartikainen,9
Nurmi,9
Niskanen,8
Aalto,8
Partanen,9
Peltonen,9
Rantala,8
Lappalainen,8
Pulkkinen,8
Niemelä,8
Rissanen,8
Seppälä,8
Saari,8
Kauppinen,8
Hakkarainen,7
Hänninen,7
Huttunen,7
Seppänen,7
Moilanen,7
Salmi,7
Suominen,7
Mottola,6
Markkanen,6
Hokkanen,6
