Name,Frequency
Giorgi,138
Davit,48
Aleqsandre,29
Irakli,27
Zurab,25
Levan,23
Nikoloz,19
Mikheil,18
Gocha,18
Givi,17
Mamuka,17
Daviti,17
Lasa,17
Zaza,17
Shota,16
Avtandil,15
Nika,15
Nika,15
Gela,14
Tamaz,14
Luka,14
Salva,13
Teimuraz,13
Guram,13
Nodar,12
Vladimer,12
Zurabi,12
Levani,11
Vaja,11
Tornike,11
Beqa,11
Ivane,11
Sergo,10
Vakhtang,10
Ilia,10
Gia,10
Tengiz,10
Amiran,10
Khvicha,10
Merab,10
Otar,10
Akaki,9
Bardi,9
Koba,9
Paata,9
Nugzar,9
Dimitri,9
Malkhaz,9
Saba,9
Revaz,9
Tamazi,8
Nodari,8
Iuri,8
Otari,8
Tariel,7
Gurami,7
Jemal,7
Temur,7
Mikheili,7
Elguja,7
Nikolozi,6
Kakha,6
Kakhaber,6
Aleqsi,6
Ramaz,6
Giga,6
Konstantine,6
Vakhtangi,6
Valeri,6
Vasil,5
Anzor,5
Suliko,5
Malkhazi,5
Grigol,5
Temuru,5
Tengiz,4
