Name,Frequency
Beridze,21
Kapanadze,15
Gelashvili,15
Mamedov,13
Maisuradze,12
Giorgadze,11
Tsiklauri,10
Lomidze,10
Mamedova,9
Tskhoidze,9
Nozadze,9
Bolqvadze,9
Chikhladze,8
Khachishvili,8
Abuladze,8
Kvaratskhelia,8
Miqeladze,7
Tabatadze,7
Medolishvili,7
Shengelia,7
Abasi,7
Maruashvili,7
Dzavashvili,7
Surmanidze,5
Davitadze,5
Turmanidze,5
Shubitidze,5
Chubinidze,5
Dvalishvili,4
Mamulashvili,4
Khvedelidze,4
Meqvabishvili,4
Mtchedlidze,4
Gaprindashvili,3
Kharchilava,3
Petrosyan,3
Grigalashvili,3
Megrelishvili,3
Davitashvili,3
Makharashvili,3
Gogiashvili,3
Rekhviashvili,3
Petriashvili,3
Natsvlishvili,2
Berishvili,2
Tselashvili,2
Ghviniashvili,2
Talakhadze,2
Bliadze,2
Kontselidze,2
Kutateladze,2
Sanikidze,2
Kiteishvili,1
Kvekveskiri,1
Zivzivadze,1
Markoishvili,1
Gaprindashvili,1
Mamardashvili,1
Qazaishvili,1
Mikautadze,1
Lochoshvili,1
Mikeltadze,1
Khocolava,1
Tsitaishvili,1
Makaridze,1
Kvilitaia,1
Bitadze,1
Burjanadze,1
Markoishvili,1
Pachulia,1
Ugrekhelidze,1
Tskitishvili,1
Tsintsadze,1
Sanadze,1
Markoishvili,1
