Name,Frequency
Avramidis,1
Angelidis,1
Athanasiadis,1
Athinaiou,1
Athanasiou,1
Alexiou,1
Alexopoulos,1
Alexandridis,1
Alexandrou,1
Alexiadis,1
Amanatidis,1
Andrinopoulos,1
Anagnostopoulos,1
Anagnostou,1
Anastopoulos,1
Andreadis,1
Antoniadis,1
Antonopoulos,1
Apostolidis,1
Argyropoulos,1
Argyros,1
Bakogiannis,1
Botsaris,1
Calathes,1
Karras,1
Chalkias,1
Chatzigeorgiou,1
Cholevas,1
Christodoulopoulos,1
Christopoulos,1
Christou,1
Daskalakis,1
Diamantopoulos,1
Dimitriadis,1
Dimakos,1
Dimopoulos,1
Evangelatos,1
Florakis,1
Fotakis,1
Fotopoulos,1
Galanis,1
Gavalas,1
Gavras,1
Gavriilidis,1
Georgiou,1
Georgiadis,1
Georgopoulos,1
Giakoumakis,1
Giannakopoulos,1
Giannopoulos,1
Hatzidakis,1
Hatzis,1
Iliopoulos,1
Ioannidis,1
Ioannou,1
Kaklamanis,1
Kalogeropoulos,1
Kanakaris,1
Kanakis,1
Karahalios,1
Kanellopoulos,1
Karakostas,1
Karavitis,1
Karvelas,1
Katrakis,1
Kefalogiannis,1
Kiriakidis,1
Kokkinakis,1
Kokolakis,1
Kolokotronis,1
Konstantinidis,1
Konstantinou,1
Konstantopoulos,1
Kontos,1
Kostopoulos,1
Kotzias,1
Koutris,1
Koutsopoulos,1
Labropoulos,1
Leivaditis,1
Leventis,1
Loverdos,1
Makris,1
Malamas,1
Manolopoulos,1
Manousakis,1
Manousos,1
Mantalos,1
Samaras,1
Stathakis,1
Stavrou,1
