Name,Frequency
Laurent,4
Louis,4
Jean,3
Pierre,3
Charles,2
Marie,2
Bernard,2
Guillaume,2
Etienne,2
Montout,2
Joseph,2
Nicolas,2
Alexis,2
Ramassamy,2
Jean-Louis,2
Garnier,2
Durimel,1
Racon,1
Lambert,1
Robert,1
Kancel,1
Roche,1
Brudey,1
Judith,1
Martin,1
Coco,1
Hatchi,1
Edom,1
Bourgeois,1
Francillette,1
Noel,1
Marie-Joseph,1
David,1
Michel,1
Jacoby-Koaly,1
Desfontaines,1
Elice,1
Pelmard,1
Vainqueur,1
Saint-Auret,1
Christophe,1
Jacquet,1
Antoine,1
Rousseau,1
Dollin,1
Lunion,1
Luce,1
Moulin,1
Jean-Charles,1
Romain,1
