Name,Frequency
László,411
István,378
József,346
János,298
Zoltán,252
Ferenc,214
Sándor,190
Gábor,185
Tibor,142
Attila,139
Tamás,132
Péter,129
Zsolt,122
Lajos,119
András,116
Imre,101
Csaba,95
György,89
Károly,83
Mihály,83
Béla,82
Gyula,71
Miklós,69
Róbert,57
Pál,53
Balázs,51
Antal,47
Norbert,34
Krisztián,30
Géza,29
Szabolcs,27
Árpád,26
Kálmán,22
Ádám,22
Dániel,31
Gergely,21
Viktor,20
Jenő,19
Ernő,19
Dávid,18
Ákos,17
Roland,17
Endre,16
Dezső,16
Bálint,14
Márton,14
Richárd,12
Ottó,12
Mátyás,10
Gergő,10
Szilárd,10
Máté,9
Máté,9
Dénes,9
Levente,9
Vilmos,9
Peter,7
Bence,7
Rudolf,7
Albert,7
Barnabás,7
Zsigmond,6
Márk,6
Bertalan,6
Gabor,6
Gusztáv,5
Győző,5
Zoltan,5
Ervin,5
Kornél,5
Laszlo,5
Andor,5
Tivadar,4
Iván,4
Matas,4
