Name,Frequency
Tóth,301
Nagy,230
Szabó,216
Kovács,209
Varga,176
Horváth,162
Kiss,133
Molnár,107
Németh,88
Farkas,70
Takács,68
Balogh,62
Papp,53
Juhász,49
Szilágyi,40
Mészáros,38
Simon,37
Szűcs,36
Fekete,34
Török,33
Rácz,28
Oláh,28
Szalai,27
Fehér,25
Gál,24
Pintér,23
Balázs,23
Kocsis,23
Lakatos,23
Fodor,22
Vincze,22
Sándor,21
Veres,21
Magyar,21
Kis,20
Sipos,20
Katona,19
Vass,19
Király,19
Hegedűs,19
Lukács,18
Vörös,18
Szőke,18
Gulyás,17
Fazekas,17
Váradi,17
Somogyi,16
Kelemen,16
Fülöp,16
László,16
Antal,16
Orosz,16
Székely,16
Boros,15
Jakab,15
Pál,14
Bálint,14
Deák,14
Tamás,14
Szekeres,14
Lengyel,14
Illés,14
Végh,14
Fábián,13
Bodnár,13
Bognár,13
Virág,13
Pap,13
Biró,13
Pásztor,12
Kozma,12
Halász,12
Szücs,12
Szántó,12
Máté,12
