Name,Frequency
Aðalbergur,1
Adam,1
Alli,1
Almar,1
Ámundi,1
Andrés,1
Annar,1
Árbjörn,1
Arngils,1
Árni,1
Arnleifur,1
Arnmundur,1
Arthúr,3
Ás,1
Askur,1
Áslákur,1
Ásólfur,1
Ástvaldur,1
Auðgeir,1
Austmar,1
Axel,1
Bæring,1
Benedikt,1
Benóný,1
Bergur,1
Bersi,1
Bertel,1
Bessi,1
Bjarkan,1
Bjarmar,1
Bjarnhéðinn,1
Björgólfur,1
Blængur,1
Blær,1
Böðvar,1
Borgúlfur,1
Bótólfur,1
Brími,1
Brynjar,1
Brynþór,1
Bylur,1
Dalbert,1
Dalmar,1
Daniel,2
Darri,1
Deníel,1
Dufþakur,1
Dugfús,1
Dúi,1
Dynþór,1
Edílon,1
Edvard,1
Eggert,1
Eggþór,1
Eiðar,1
Einar,1
Einir,1
Elfráður,1
Erlar,1
Erlendur,1
Ernest,1
Esekíel,1
Evan,1
Eyjar,1
Eyvindur,1
Fáfnir,1
Ferdínand,1
Finnvarður,1
Fíus,1
Flemming,1
Flóki,3
Flosi,1
Fossmar,1
Freymann,1
Freyr,1
Friðbert,1
Friðfinnur,1
Friður,1
Friðvin,1
Friedrich,1
Frostúlfur,1
Garðar,1
Garpur,1
Gautviður,1
Gerald,2
Gestar,1
Gilmar,1
Gizur,1
Gneisti,1
Gói,1
Guðgeir,1
Guðmon,1
Gunndór,1
Gunnröður,1
Gunnvaldur,1
Haddi,1
Hænir,1
Hagbert,1
Hálfdan,1
Hallberg,1
Hallbjörn,1
Hallgeir,1
Hallmar,1
Hallur,1
Hallvarður,1
Harald,2
Hárlaugur,1
Harri,1
Hartvig,1
Hávarr,1
Heiðberg,1
Heiðlindur,1
Heikir,1
Heisi,1
Herlaugur,1
Herluf,1
Hervar,1
Hildiþór,1
Hjaltalín,1
Hjalti,1
Hlér,1
Hlífar,1
Hlini,1
Hlöðmundur,1
Hlöðvarður,1
Hnefill,1
Holgeir,1
Hólm,1
Hólmgrímur,1
Hróaldur,1
Hróbjartur,1
Hróðmar,1
Hrolleifur,1
Hrómundur,1
Hugi,1
Húgó,1
Huldar,1
Hvannar,1
Ingivaldur,1
Ívan,5
Jaki,1
Jan,1
Jens,1
Jeremías,1
Johan,1
Jóhann,1
Jónbjarni,1
Jóngeir,1
Jósafat,1
Jóvin,1
Júlí,1
Kamal,1
Kamilus,1
Kár,1
Kasper,1
Ketilbjörn,1
Kiddi,2
Kjalar,1
Kolgrímur,1
Kornelíus,1
Korri,1
Kristján,1
Kristleifur,1
Kvasir,1
Leon,1
Leonardó,1
Leví,1
Lindberg,1
Líni,1
Lundi,1
Lyngþór,1
Marel,1
Margeir,1
Margrímur,1
Marijón,1
Marjón,1
Melrakki,1
Metúsalem,1
Michael,1
Mjölnir,2
Muninn,1
Mýrkjartan,1
Neisti,1
Neó,1
Neptúnus,1
Nikolas,1
Nikulás,1
Nóri,1
Oktavías,1
Októvíus,1
Ómar,1
Öndólfur,1
Ósvaldur,1
Parmes,1
Patrek,1
Patrick,1
Pedró,1
Peter,1
Reykdal,1
Reynald,1
Ríkarður,1
Ríkharð,1
Róbert,1
Rólant,1
Ronald,1
Röskvi,1
Sæberg,1
Sæbjartur,1
Sævaldur,1
Sakarías,1
Salmar,1
Samson,3
Samúel,1
Sandel,1
Sigbjartur,1
Sighvatur,1
Sigmann,1
Sigri,1
Sigurður,1
Sigurgeir,1
Sigurjón,1
Sigurlaugur,1
Sigurlinni,1
Sigurpáll,1
Sigursteinn,1
Sírnir,1
Skafti,1
Skarphéðinn,1
Skorri,1
Skuggi,1
Smyrill,1
Snæþór,1
Snjóki,1
Sólberg,1
Sölvar,1
Sören,1
Starri,1
Stefnir,1
Steingrímur,1
Stígur,1
Styrkár,1
Svanhólm,1
Svanþór,1
Sveinþór,1
Sverre,1
Tímon,1
Tímoteus,1
Tindur,1
Tístran,1
Tjörvi,1
Trúmann,1
Úlfgeir,1
Vakur,1
Valdemar,1
Valentínus,2
Valgarð,1
Valgeir,1
Vallaður,1
Valter,1
Vébjörn,1
Ver,1
Veturliði,1
Víðir,1
Vilmundur,1
Vörður,1
Willy,1
Ymir,1
Yrkill,1
Zóphanías,1
Þinur,1
Þjálfi,1
Þórarinn,1
Þórbjarni,1
Þórbjörn,1
Þorgísl,1
Þorgrímur,1
Þórhalli,1
Þórlaugur,1
Þórmar,1
Þorvar,1
Þráinn,1
