Name,Frequency
Aðalbergsson,1
Aðalborgarsson,1
Adelsson,1
Aðólfsson,2
Ævarsson,1
Alexíusarson,1
Amonsson,1
Anesarson,1
Angason,1
Árbjartsson,1
Aresarson,1
Aríusarson,1
Arnarson,1
Arnfreysson,1
Arngarðsson,1
Arngeirsson,1
Arngilsson,1
Arnmundsson,1
Arnoldsson,1
Arnúlfsson,1
Ásbergsson,1
Ásgautsson,1
Ássson,1
Ástráðsson,1
Ásvaldsson,1
Ásþórsson,1
Auðmundsson,1
Auðsson,1
Austarsson,1
Baltasarsson,1
Bambusarson,1
Bergmarsson,1
Bertason,1
Bessason,1
Bjarnfinnsson,1
Bjartmannsson,1
Blævarsson,1
Bóason,1
Bollason,1
Borgarsson,1
Bragason,1
Brekason,1
Brímisson,1
Bryngeirsson,1
Carlsson,1
Cecilsson,1
Christophersson,1
Cýrusarson,1
Dagnýsson,2
Dallason,1
Dalvinsson,1
Dantesson,1
Davíðsson,1
Diðriksson,1
Dollason,1
Dómaldason,1
Dórason,1
Dufþaksson,1
Dynþórsson,1
Dýrason,1
Ebenezersson,1
Edilonsson,1
Eðvarðsson,1
Eiríksson,5
Eldjárnsson,1
Eldonsson,1
Ellertsson,1
Emilsson,1
Enoksson,1
Ericsson,1
Erlarsson,1
Erlendsson,1
Erpsson,1
Evíansson,1
Eyríksson,1
Eysteinsson,1
Finnlaugsson,1
Fjörnisson,1
Flóventsson,1
Fólkason,1
Freymannsson,1
Freyviðsson,1
Friðbergsson,1
Friðjónsson,1
Friðvinsson,1
Frímannsson,1
Gaddason,1
Garibaldason,1
Gautviðsson,1
Geimarsson,1
Gídeonsson,1
Gígsson,1
Gíslason,1
Goðmundsson,1
Guðbergsson,1
Guðbjarnason,1
Guðbjörnsson,1
Guðmannsson,1
Guðvarðsson,1
Guðvinsson,1
Gunnbjörnsson,1
Gunnólason,1
Haddason,1
Hafgrímsson,1
Hafsteinsson,1
Háleygsson,1
Hallbergsson,1
Hallmannsson,1
Hallsteinsson,1
Hallvarðsson,1
Háreksson,1
Hartmannsson,1
Hartvigsson,1
Hásteinsson,1
Hávarsson,1
Héðinsson,1
Heiðreksson,1
Heimisson,1
Helmútsson,1
Henningsson,2
Herbertsson,1
Herbjörnsson,1
Hergeirsson,1
Hergilsson,1
Herleifsson,1
Hilmisson,1
Himrason,1
Hjálmtýsson,1
Hjaltason,1
Hjarnarsson,1
Hlífarsson,1
Höðsson,1
Högnason,1
Holgersson,1
Hólmarsson,1
Hólmbertsson,1
Hólmgrímsson,1
Hólmþórsson,1
Hrafnbergsson,1
Hrafnþórsson,1
Hróðvarsson,1
Hugósson,1
Húnsson,1
Huxleysson,1
Ígorsson,1
Indriðason,1
Ingbergsson,1
Ingiþórsson,1
Ingvaldsson,1
Ísmaelsson,1
Issason,1
Jakopsson,1
Jasonsson,1
Játvarðsson,1
Jóhannsson,1
Jónbjarnason,1
Jonnason,1
Jósavinsson,1
Jósefsson,1
Jósteinsson,1
Júníusarson,1
Kalmannsson,1
Karlesarson,1
Karvelsson,1
Kjalarsson,1
Kjaransson,1
Kjársson,1
Klemensson,1
Kolviðsson,1
Kópsson,1
Kristfinnsson,1
Kristiansson,1
Kristleifsson,1
Kristófersson,1
Kristósson,1
Lárentsson,1
Leosson,1
Lésson,1
Levýsson,1
Lindbergsson,1
Líósson,1
Ljósálfsson,1
Lórensson,1
Magnþórsson,1
Manfreðsson,1
Marelsson,1
Margeirsson,1
Marísarson,1
Maríusarson,1
Markósson,1
Mateósson,1
Melkíorsson,1
Mensaldersson,1
Míósson,1
Mortansson,1
Nennason,1
Nicolasarson,1
Nikolasarson,1
Njörðsson,1
Nóelsson,1
Nóvembersson,1
Oddbjörnsson,1
Ögrason,1
Ólafsson,1
Otkelsson,1
Patreksson,1
Patricksson,1
Ráðgeirsson,1
Rafnarsson,1
Ragúelsson,1
Ramsson,1
Reifnisson,1
Reinholdsson,1
Reynaldsson,1
Reysson,1
Rikkason,1
Rósarsson,1
Rósinbergsson,1
Runólfsson,1
Sæbjartsson,1
Sæmannsson,1
Salmarsson,1
Samúelsson,1
Saxason,1
Sesarsson,1
Sigfastsson,1
Sigjónsson,1
Siglaugsson,1
Sigmundsson,1
Sigtryggsson,1
Sigurbjörnsson,1
Sigurbrandsson,1
Sigurdórsson,1
Sigurgrímsson,1
Sigurhjörtsson,1
Sigurleifsson,1
Sigurmarsson,1
Sigursveinsson,1
Sjafnarsson,1
Skarphéðinsson,1
Skíðason,1
Snæringsson,1
Sörensson,1
Stanleysson,1
Stígsson,1
Stormsson,1
Sturrason,1
Styrkásson,1
Sumarliðason,1
Svanbergsson,1
Svendsson,1
Sverrisson,1
Svölnisson,1
Tímóteusarson,1
Tístransson,1
Tjaldsson,1
Toddason,1
Tórsson,1
Tótason,1
Unndórsson,1
Úranusarson,1
Valtersson,1
Valvesarson,1
Vatnarsson,1
Viðarsson,1
Víðisson,1
Vígbergsson,1
Vígþórsson,1
Vilbjörnsson,1
Ylsson,1
Yngvarsson,2
Yngvason,1
Ýrarsson,1
Zakaríasarson,1
Zophoníasarson,1
Þjóðleifsson,1
Þorláksson,1
Þorleiksson,1
þórsson,1
Þrastarsson,1
