Name,Frequency
Aakaash,1
Aarav,1
Aalok,1
Aashish,1
Abhi,1
Abhilash,1
Abhimanuya,1
Abhoy,1
Adler,1
Ajit,1
Ajoy,1
Akash,1
Akhil,1
Alok,1
Aman,1
Amit,1
Amitaabh,1
Amitava,1
Anirvan,1
Anurag,1
Apoorva,1
Arjun,1
Arnav,1
Arun,1
Aryan,1
Asheesh,1
Ashish,1
Ashok,1
Ashwin,1
Baldeb,1
Balmohan,1
Banshi,1
Bansilal,1
Bhaskor,1
Bhola,1
Bhoopendra,1
Bhupinder,1
Bihari,2
Birendramohan,1
Bishwa,1
Bishwanath,1
Chaitan,1
Chandrachur,1
Chandramohan,1
Charuchandra,1
Chetan,1
Chirakumar,1
Daya,1
Deb,2
Deeptendu,1
Deeptimay,1
Devadas,1
Devdas,1
Deveeprasad,1
Devraaj,1
Dhaval,1
Dhir,1
Dinabandhu,1
Dwaraka,1
Dwarakaa,1
Dwarkanath,1
Dwijendra,1
Faalgun,1
Gaurang,1
Gaureeshankar,1
Gaurinandan,1
Gaurishankar,1
Gopaal,1
Gopee,1
Gopi,1
Goutam,1
Hari,1
Harihar,1
Harish,1
Harsh,1
Hemanga,1
Hemant,1
Hemraj,1
Herambwa,1
Himadri,1
Hiranmaya,1
Hrishab,1
Indra,1
Indrajit,1
Ishan,1
Ishwar,2
Jagat,1
Jaidev,1
Jay,1
Jayant,1
Jivan,1
Kailash,1
Kamal,1
Kunchacko,1
Lalit,1
Madhukar,1
Madhvan,1
Mammooty,1
Manoj,1
Mayur,1
Milan,1
Mukul,1
Mukund,1
Naman,1
Nilesh,1
Niranjan,1
Nirmal,1
Ojas,1
Oorjit,1
Pallav,1
Pankaj,1
Paramartha,1
Parth,1
Pranav,1
Rahul,1
Rohan,1
Rohith,1
Roshan,1
Salil,1
Sameer,1
Satyajeet,1
Shantanu,1
Shree,1
Sisir,1
Sonu,1
Tapas,2
Upanshu,1
Ushapati,1
Vachaspati,1
Vardaan,1
Vatsal,1
Veydant,1
Vivaan,1
Vivek,1
Vrisini,1
Vyomdev,1
Vyomesh,1
Yadavendra,1
Yadu,1
Yagyesh,2
Yajnadhar,1
Yash,1
Yayati,1
Yogadeva,1
Yoginampati,1
Yukta,1
Yuval,1
