Name,Frequency
Aadesh,1
Aashish,1
Abhinav,1
Acharya,1
Acharyya,1
Agrawal,1
Ahuja,1
Aich,1
Akash,1
Akhilesh,1
Akshay,1
Akshya,1
Ambar,2
Anand,1
Arya,1
Asharaful,1
Bachchu,1
Baidya,1
Baij,1
Balaram,1
Balchandra,1
Balmohan,1
Barkat,1
Bhattacharyya,1
Bhoopendra,1
Bhuiyan,1
Bhupendra,1
Bijoy,1
Biju,1
Biswas,1
Brahmachari,1
Brata,1
Buksh,1
Chaitan,1
Chakravarty,1
Chandra,1
Chandresh,1
Datta,1
Devi,2
Dhaval,2
Gajendra,1
Gangopadhyay,1
Ganguli,1
Garg,1
Gaurav,1
Ghosh,1
Girish,1
Gopaal,1
Gopal,2
Gopi,1
Goswami,1
Govind,1
Hanish,1
Haresh,1
Hore,1
Idhant,1
Indrayan,1
Inoday,1
Jagmohan,1
Jain,1
Janak,1
Jaswant,1
Jatin,1
Jeevan,1
Karmakar,1
Kaur,1
Khan,1
Kumar,1
Lalit,1
Lohani,1
Madhav,1
Madhukar,1
Madhvan,1
Mahadev,1
Mahasaya,1
Mahesh,1
Mahmud,1
Maitra,1
Maji,1
Malakar,1
Mallick,1
Mandal,1
Mazumder,1
Mehta,1
Milan,1
Milind,1
Mitul,1
Mokammel,1
Muhkerjee,1
Mukerjea,2
Mukerji,1
Mukhopadhyay,1
Murshid,1
Nabi,2
Nagchaudhuri,1
Nandi,1
Navin,1
Nayan,1
Nilesh,1
Niranjan,1
Nirav,1
Nitesh,1
Osmani,1
Pallav,1
Paramahamsa,1
Paramartha,1
Patel,1
Pyne,1
Rahaman,1
Raihan,1
Rakesh,1
Rastogi,1
Reddy,1
Salimullah,1
Sanyal,1
Sarasvati,1
Sarkar,1
Sekhar,1
Sen,1
Sengupta,1
Sharma,1
Shastri,1
Shonku,1
Sikdar,1
Sil,1
Singh,1
Sinha,1
Siraj,1
Sonu,1
Sumon,1
Toya,2
Ulhas,1
Ushapati,1
Vadish,1
Viamrsh,1
Vibhaakar,1
Vyomaang,1
Vyomakesh,1
Vyomesh,1
Yadavendra,1
Yadu,1
Yagnik,1
Yaj,1
Yajnadhar,1
Yajnarup,1
Yashodhan,1
Yashodhar,1
Yashvasin,1
Yayin,1
Yogesh,1
Yogine,1
