Name,Frequency
Abram,1
Absolom,1
Ade,1
Adi,1
Afeef,1
Agung,1
Agus,1
Alawi,1
Ari,1
Bambang,1
Benny,1
Bima,1
Brian,1
Budi,1
Budiman,1
Cahaya,1
Cahya,1
Cornelius,1
Darma,1
Darmali,1
Dian,1
Djaja,1
Doddy,1
Dwi,1
Eka,1
Eko,1
Elihu,1
Elkanah,1
Ezekiel,1
Famita,1
Guntur,1
Hadi,1
Hadian,1
Hamdani,1
Hendra,1
Hendri,1
Hengki,1
Herman,1
Hoanita,1
Hur,1
Iman,1
Irwan,1
Isaiah,1
Jacob,1
Joel,1
Johan,1
Jonathan,1
Jordan,1
Joses,1
Josias,1
Knut,1
Krisna,1
Kumala,1
Kusuma,1
Kuwat,1
Lawang,1
Leonard,1
Limantara,1
Limputra,1
Loekmantoro,1
Lot,1
Lusanto,1
Mamoon,1
Melchizedek,1
Micah,1
Mursalim,1
Nadi,1
Naphtali,1
Nashat,1
Nathan,1
Nicodemus,1
Nurtanio,1
Obadiah,1
Ole,1
Olger,1
Omar,1
Peter,1
Philip,1
Putra,1
Raharjo,1
Raja,1
Reuben,1
Ridwan,1
Rufus,1
Samuel,1
Shadrach,1
Shem,1
Slamet,1
Stanley,1
Sudirman,1
Sudomo,1
Suhandi,1
Suharto,1
Suhendra,1
Sukarno,1
Sunardi,1
Suparman,1
Suryadi,1
Susanto,1
Susantyo,1
Susila,1
Susilo,1
Tanandar,1
Tandubuana,1
Tanu,1
Tanuwidjaja,1
Teddy,1
Teguh,1
Thomas,1
Tijs,1
Tirta,1
Tirto,1
Titus,1
Tjahjana,1
Tjandrawinata,1
Tobiah,1
Tri,1
Unang,1
Uzziah,1
Victor,1
Wendelin,1
Wibawa,1
Wienathan,1
Winardi,1
Winarto,1
Wira,1
Wirahadi,1
Yandi,1
Yapardi,1
Yohanes,1
Zaidaan,1
Zebadiah,1
Zebedee,1
Zebulun,1
