Name,Frequency
Agusalim,1
Angwarmasse,1
Aritonang,1
Atmadja,1
Atmadjaja,1
Bachmid,1
Bako,1
Bangkiang,1
Bohai,1
Cahyadi,1
Chandra,1
Chao,1
Cheng,1
Cheung,1
Chi,1
Darmadi,1
Darmali,1
Delun,1
Déshì,1
Dharmawijaya,1
Geming,1
Gersang,1
Gunardi,1
Gunawan,1
Hadiman,1
Hai,1
Halim,1
Hardja,1
Hartanto,1
Hasibuan,1
Hasugian,1
Heng,1
Hermanto,1
Hermawan,1
Hong,1
Hulin,1
Hutabagas,1
Hutagaol,1
Huwae,1
Indradjaja,1
Indrajaya,1
Iskandar,1
Jambe,1
Jayadi,1
Jingguo,1
Johan,1
Jong,1
Jung,1
Kabak,1
Kacaribu,1
Kacinambun,1
Kartawijaya,1
Kurnia,1
Kurniawan,1
Kusnadi,1
Kusuma,1
Kusumo,1
Landzaat,1
Latuconsina,1
Latuperissa,1
Lesmana,1
Lesmono,1
Lestaluhu,1
Lie,1
Litaay,1
Liwei,1
Lumbannahor,1
Makmur,1
Manurung,1
Meha,1
Minzhe,1
Muljana,1
Munthe,1
Nianzu,1
Oesman,1
Ompusunggu,1
Peranginangin,1
Pranata,1
Pranoto,1
Rachman,1
Risamasu,1
Rugebregt,1
Sagala,1
Salim,1
Sanjaya,1
Santoso,1
Sasmita,1
Setiabudi,1
Setiawan,1
Shining,1
Sianturi,1
Sibuaton,1
Sihite,1
Sihole,1
Sihombing,1
Sihotang,1
Silalahi,1
Simanjorang,1
Simanungkalit,1
Simarmata,1
Simarsoit,1
Sinaga,1
Sinupayung,1
Sinurat,1
Siringkiron,1
Sitio,1
Sitorus,1
Siyu,1
Solin,1
Sudirman,1
Sudjarwadi,1
Sugiarto,1
Sumadi,1
Susanto,1
Susman,1
Sutedja,1
Tahalele,1
Tahyadi,1
Tanudjaja,1
Tedja,1
Tiahahu,1
Tuasalamony,1
Wibowo,1
Widjaja,1
Wuzhou,1
Xiaowen,1
Xueqin,1
Yi,1
Yong,1
Yuwono,1
Zenguang,1
Zhen,1
Zhensheng,1
Zhong,1
