Name,Frequency
Jack,68
James,53
Noah,50
Conor,43
Daniel,40
Adam,35
Liam,33
Tadhg,32
Luke,32
Charlie,32
Darragh,32
Harry,31
Oisín,31
Michael,30
Alex,30
Fionn,29
Cillian,29
Thomas,28
Jamie,27
Patrick,26
Rían,26
Finn,26
Seán,26
Oliver,25
Ryan,23
Dylan,22
Matthew,22
Ben,22
Bobby,22
John,21
Leo,21
Cian,20
Aaron,20
Max,17
Ethan,17
Alexander,17
Jake,17
Tom,16
Jacob,16
Alfie,16
David,16
Senan,16
Oscar,16
Sam,16
Callum,15
Mason,15
Ollie,15
Aidan,14
Theo,14
William,14
Leon,14
Joseph,13
Tommy,13
Joshua,13
Lucas,12
Evan,12
Donnacha,12
Logan,12
Luca,12
Samuel,11
Nathan,11
Cathal,11
Shay,10
Archie,10
Jayden,10
George,10
Kai,10
Andrew,10
Louis,10
Danny,10
Rory,10
Theodore,9
Freddie,9
Eoin,9
Benjamin,9
Billy,9
Hugo,9
Muhammad,9
Ronan,9
Robert,8
Arthur,8
Kayden,8
Christopher,8
Henry,8
Frankie,8
Dara,8
Kyle,8
Ruairí,8
Edward,8
Isaac,8
Martin,8
Odhran,7
Eli,7
Mark,7
Anthony,7
Josh,7
Zach,7
Joey,7
Odhrán,7
Kevin,7
Tadgh,7
Jaxon,7
Scott,7
Sonny,7
Tomás,7
Cormac,6
Peter,6
Sean,6
Eoghan,6
Brody,6
Shane,6
Killian,6
Tiernan,6
Sebastian,6
Carter,6
Hunter,6
Daithí,6
Ciarán,6
Rian,6
Teddy,6
Tyler,5
Arlo,5
Gabriel,5
Jackson,5
Eric,5
Cody,5
Éanna,5
Lorcan,5
Alan,5
Filip,5
Joe,5
Elliot,5
Rhys,5
Oran,5
Calvin,5
Nicholas,5
Blake,5
Harrison,5
Paddy,4
Brian,4
Caleb,4
Louie,4
Harvey,4
Cole,4
Páidí,4
Séan,4
Reuben,4
Denis,4
Ted,4
Iarlaith,4
Jason,4
Donagh,4
Elliott,4
Riley,4
Iarla,4
Lewis,4
Jordan,4
Antoni,4
Elijah,4
Cooper,4
Paul,4
Hugh,4
Rowan,4
Daire,4
Gerard,4
Keelan,4
Kian,3
Jonathan,3
Jude,3
Lukas,3
Jakub,3
Zack,3
Johnny,3
Stephen,3
Niall,3
Charles,3
Felix,3
Levi,3
Bradley,3
Fiachra,3
Conn,3
Zac,3
Cameron,3
Kacper,3
Milo,3
Dáire,3
Dáithí,3
Robbie,3
Olly,3
Caolán,3
Owen,3
Corey,3
Oskar,3
Conall,3
Jan,3
Jonah,3
Robin,3
Mateo,3
Adrian,3
Shea,3
