Name,Frequency
Giuseppe,117
Giovanni,77
Antonio,72
Francesco,72
Luigi,51
Mario,51
Andrea,44
Salvatore,41
Vincenzo,38
Roberto,38
Paolo,38
Marco,35
Angelo,35
Domenico,30
Pietro,30
Michele,29
Franco,28
Alessandro,26
Carlo,26
Stefano,25
Massimo,23
Nicola,21
Giorgio,20
Bruno,20
Maurizio,19
Luciano,19
Alberto,18
Luca,18
Pasquale,17
Mauro,17
Sergio,16
Fabio,16
Claudio,15
Enrico,14
Antonino,13
Raffaele,13
Giancarlo,13
Daniele,12
Vittorio,11
Aldo,11
Lorenzo,11
Renato,11
Monica,11
Gaetano,11
Antonio,11
Fabrizio,10
Davide,10
Gianfranco,10
Vito,9
Riccardo,9
Simone,9
Matteo,9
Giacomo,8
Filippo,8
Gianni,8
Gabriele,8
Guido,8
Umberto,7
Carmine,7
Marcello,7
Enzo,7
Carmelo,7
Rocco,7
Leonardo,7
Giuliano,7
Gino,7
Piero,6
Dario,6
Alfredo,6
Gianluca,6
Giulio,6
Renzo,6
Adriano,6
Massimiliano,6
Rosario,6
Silvano,6
Federico,6
Gian,6
Gennaro,6
Cosimo,6
Armando,6
Emanuele,5
Cesare,5
Tommaso,5
Emilio,5
Donato,5
Sebastiano,5
Claudio,5
Ciro,5
Alfonso,5
Sandro,5
Walter,5
Elio,4
Dino,4
Agostino,4
Pier,4
Danilo,4
Felice,4
Fernando,4
Corrado,4
Ernesto,4
Ugo,4
Lino,3
Gerardo,3
Silvio,3
Alessio,3
Fausto,3
Flavio,3
Romano,3
Ferdinando,3
Eugenio,3
Diego,3
Attilio,3
Marino,3
Sergio,3
Biagio,3
Ezio,3
Saverio,3
Graziano,3
Calogero,3
Augusto,3
Ettore,3
Santo,3
Ignazio,3
Pierluigi,3
Remo,3
Italo,2
Tiziano,2
Natale,2
Rino,2
Ivano,2
Alfio,2
Lucio,2
Benito,2
Fulvio,2
Edoardo,2
Mariano,2
Livio,2
Ivan,2
Valerio,2
Nunzio,2
Dante,2
Orazio,2
Ennio,2
Egidio,2
Giampaolo,2
Aniello,2
Giampiero,2
Ivo,2
Arturo,2
Guglielmo,2
Valentino,2
Benedetto,2
Loris,2
Amedeo,2
Rodolfo,2
Nicolo,2
Antonello,2
Cristian,2
Mirko,2
Gianluigi,1
Valter,1
Ermanno,1
Mattia,1
Moreno,1
Pierino,1
Cristiano,1
Damiano,1
Sante,1
Osvaldo,1
Christian,1
Primo,1
Ferruccio,1
Nello,1
Costantino,1
Gilberto,1
Gioacchino,1
Aurelio,1
Orlando,1
Mirco,1
Camillo,1
Gaspare,1
Arnaldo,1
Giordano,1
Valerio,1
Battista,1
Nino,1
Luigino,1
Martino,1
Girolamo,1
David,1
Michelangelo,1
Ruggero,1
Bartolomeo,1
Romeo,1
Ottavio,1
Rinaldo,1
Nazzareno,1
Tonino,1
Adolfo,1
