Name,Frequency
Rossi,15
Russo,9
Ferrari,8
Esposito,7
Colombo,6
Bianchi,6
Romano,5
Ricci,4
Gallo,4
Dal,4
Bruno,4
Greco,4
Marino,4
Conti,3
Giordano,3
Rizzo,3
de Luca,3
Costa,3
Mancini,3
Lombardi,3
Barbieri,3
Fontana,3
Moretti,3
Mariani,3
Caruso,3
Galli,3
Ferrara,3
Santoro,2
Rinaldi,2
Longo,2
Villa,2
Sala,2
Leone,2
Martini,2
Dalla,2
D'Angelo,2
Bianco,2
Martinelli,2
Gatti,2
Vitale,2
Serra,2
Coppola,2
Gentile,2
Cattaneo,2
Ferri,2
Messina,2
Monti,2
Marchetti,2
Marini,2
Fabbri,2
Ferraro,2
Lombardo,2
Testa,2
de Santis,2
Grasso,2
Parisi,2
Amato,2
de Angelis,2
Pellegrini,2
Riva,2
Grassi,2
Palumbo,2
Conte,2
Morelli,2
Brambilla,2
Sanna,2
Farina,2
Benedetti,2
Pellegrino,2
Valentini,2
Rizzi,2
Franco,2
Caputo,2
Carbone,2
Fiore,2
de Rosa,2
Barone,2
D'Amico,2
Mazza,2
Silvestri,2
Martino,2
Bernardi,2
Rossetti,2
Palmieri,2
Giuliani,2
Orlando,2
Piras,2
Locatelli,2
Basile,2
Castelli,1
Pagano,1
Ruggiero,1
Sorrentino,1
Pozzi,1
Romeo,1
Bellini,1
Montanari,1
Fumagalli,1
Poli,1
Rota,1
Negri,1
Vitali,1
Ferrero,1
Milani,1
Costantini,1
di Stefano,1
Ferretti,1
Battaglia,1
Mantovani,1
D'Agostino,1
Moro,1
Perrone,1
Fusco,1
Guerra,1
Sartori,1
Donati,1
Basso,1
Piazza,1
de Simone,1
Calabrese,1
Molinari,1
Catalano,1
Pinna,1
Leonardi,1
Meloni,1
Proietti,1
Spinelli,1
Ruggeri,1
Zanetti,1
Bruni,1
Marchi,1
Bassi,1
Ventura,1
Santini,1
Olivieri,1
Giorgi,1
Magnani,1
Melis,1
Carta,1
Motta,1
Pace,1
Grimaldi,1
Marinelli,1
Garofalo,1
Mele,1
Manca,1
Aiello,1
Beretta,1
Monaco,1
D'Ambrosio,1
Cavallo,1
Rosso,1
Volpe,1
Trevisan,1
D'Alessandro,1
Antonelli,1
Ferro,1
Maggi,1
Orlandi,1
Napolitano,1
Guidi,1
Cirillo,1
Pastore,1
Corti,1
Pepe,1
Rosa,1
Ferrante,1
Tosi,1
Berti,1
Costanzo,1
Baldi,1
Valenti,1
Angelini,1
de Marco,1
Viola,1
Nardi,1
Arena,1
Mancuso,1
Leoni,1
Sacco,1
Grossi,1
Pugliese,1
Landi,1
Grillo,1
Agostini,1
Piccolo,1
Venturi,1
Marchese,1
Ceccarelli,1
Mosca,1
Stella,1
Giannini,1
Bartolini,1
di Marco,1
Gori,1
Serafini,1
Bernardini,1
Spina,1
Mauro,1
Venturini,1
