Name,Frequency
Abeno,1
Abiko,1
Abo,1
Aichi,1
Aisawa,1
Akagi,1
Akaminai,1
Akasaka,1
Akatsuka,1
Akihara,1
Akino,1
Akiyoshi,1
Akutsu,1
Amane,1
Amaya,1
Amuro,1
Ando,1
Aochi,1
Aomatsu,1
Aonuma,1
Arabori,1
Araki,1
Aratani,1
Arima,1
Arimoto,1
Arisawa,1
Ariyoshi,1
Asahara,1
Asahi,1
Asahina,1
Asai,1
Asaki,1
Asanuma,1
Asato,1
Ashiro,1
Aso,1
Asumi,1
Awaji,1
Ayahana,1
Ayase,1
Azuki,1
Bando,1
Beppu,1
Chatan,1
Chida,1
Bando,1
Banse,1
Betsuyaku,1
Bogaki,1
Basugi,1
Chinen,1
Chiziwa,1
Daigo,1
Daimon,1
Danzaki,1
Deguchi,1
Demachi,1
Demizu,1
Demura,1
Dewa,1
Dogura,1
Doigawa,1
Domoto,1
Cho,1
Chikakane,1
Chonan,1
Chisima,1
Chigira,1
Chin,1
China,1
Chiyojima,1
Doki,1
Dosha,1
Dentani,1
Daiwa,1
Ebihara,1
Edano,1
Egusa,1
Emon,1
Enokida,1
Esashika,1
Enoki,1
Egoshi,1
Enokiya,1
Ebe,1
Edakawa,1
Edo,1
Eiyu,1
Edakubo,1
Fujie,1
Fujii,1
Fujikawa,1
Fujima,1
Fujimaki,1
Fujinami,1
Fujisaki,1
Fujiwara,1
Fukada,1
Fukai,1
Fukao,1
Fuke,1
Fukikoshi,1
Fukita,1
Fukudome,1
Fukuhura,1
Fukumi,1
Fukumitsu,1
Fukuo,1
Fukuzawa,1
Funae,1
Funatsu,1
Furuoya,1
Furutani,1
Fushimi,1
Futaba,1
Futagawa,1
Fuwa,1
Gomi,1
Gotoda,1
Gonda,1
Goko,1
Ga,1
Goi,1
Gosho,1
Gomyo,1
Ganeko,1
Gozu,1
Gonzo,1
Gen,1
Goibuchi,1
Goku,1
Gakubari,1
Gun,1
Gohongi,1
Jon,1
Joso,1
Jima,1
Jojo,1
Jokyu,1
Jibiki,1
Joshita,1
Jodoi,1
Jukurogi,1
Jimura,1
Kadonaga,1
Kaeriyama,1
Kagami,1
Kagawa,1
Kageura,1
Kagimoto,1
Kaifu,1
Kajii,1
Kajikawa,1
Kajio,1
