Name,Frequency
Kenes,5
Omarov,5
Sultanov,5
Alieva,5
Barat,5
Akhmetov,4
Umarov,3
Belgibaev,3
Akhmetova,3
Kemelov,3
Bolatbek,3
Ivanov,2
Ivanova,2
Kambarov,2
Iskakova,2
Boyko,2
Smagulov,2
Aliev,2
Omarova,2
Ospanova,2
Smagulova,2
Ospanov,2
Serikov,2
Tsoy,2
Suleymenov,2
Karimov,1
Ibragimov,1
Bondarenko,1
Eleusiz,1
Asanova,1
Petrova,1
Kaliev,1
Nigmashev,1
Shevchenko,1
Popov,1
Valieva,1
Suleymenova,1
Muratov,1
Romanyuk,1
Asanov,1
Ibraev,1
Zhumabaev,1
Ibraeva,1
Ismailov,1
Kovalenko,1
Sarbalin,1
Tulegenov,1
Iskakov,1
Popova,1
Musin,1
