Name,Frequency
Akamu,1
Analu,1
Aulii,1
Bane,1
Havika,1
Ikaika,1
Kahoku,1
Kai,1
Kaili,1
Kaipo,1
Kalani,1
Kale,1
Kalei,1
Kanoa,1
Kapono,1
Kawaii,1
Keahi,1
Keanu,1
Kelii,1
Keoki,1
Keola,1
Keon,1
Keona,1
Keowynn,1
Kimo,1
Koa,1
Konala,1
Kye,1
Lae,1
Lani,1
Leilani,1
Liko,1
Lilo,1
Loe,1
Maiele,1
Maik,1
Makaio,1
Makan,1
Makani,1
Malo,1
Mauli,1
Meka,1
Mele,1
Moana,1
Moke,1
Mya,1
Noi,1
Oke,1
Palani,1
Paxathipatai,1
Pekelo,1
Phetdum,1
Phonesavanh,1
Saravan,1
Sathanalat,1
Sengprachanh,1
Sommai,1
Somphone,1
Songkram,1
Sonxai,1
Teyvada,1
Ulani,1
Wongduan,1
Xaisomboun,1
