Name,Frequency
Bokeo,1
Bouphavanh,1
Bouvanaat,1
Champasack,1
Champasak,1
Chanthanane,1
Chanthavong,1
Chanthraphone,1
Cheruene,1
Douangmala,1
Douangvily,1
Genevong,1
Inthisane,1
Kaewdara,1
Keobounphanh,1
Keobunta,1
Keomany,1
Keopraseuth,1
Keothavong,1
Kethavongsa,1
Ketthavong,1
Khamchanh,1
Khamsomphou,1
Khamvongsouk,1
Khanthavong,1
Khotpanya,1
Khouphongsy,1
Kittiphan,1
Kommandam,1
Kouanchao,1
Lengsavad,1
Louangrath,1
Malaythong,1
Manwilaivong,1
Menorath,1
Ornpaeng,1
Pakdimounivong,1
Phanivong,1
Phankham,1
Phaophanit,1
Phengsavath,1
Phetphommasouk,1
Phommajack,1
Phommasane,1
Phommathep,1
Phomsouvanh,1
Phomvihane,1
Phothisarath,1
Phoumsavanh,1
Phoutthasinh,1
Phrasavath,1
Rattanavongsa,1
Saenbouthalath,1
Saengsavang,1
Saengsouriya,1
Saenthavisouk,1
Savang,1
Sayasone,1
Sayavong,1
Saysamongdy,1
Saysanasy,1
Seeha,1
Sengprachanh,1
Sengtavisouk,1
Siharath,1
Siphandon,1
Sisoulith,1
Somphonpadee,1
Somphousiharath,1
Sonexarth,1
Souksanh,1
Soulignavong,1
Southavilay,1
Souvannaphouma,1
Syrypanha,1
Syvongsa,1
Tayvihane,1
Thammasith,1
Thammavong,1
Thammavongsa,1
Thepsenavong,1
Thiamphasone,1
Thonemany,1
Vatthana,1
Viravongs,1
Vongphakdy,1
Vongsamphanh,1
Vongsay,1
Vongvichit,1
Vongvilay,1
Vorachith,1
Xiengboree,1
