Name,Frequency
Janis,15
Aleksandrs,7
Vladimirs,6
Nikolajs,5
Juris,5
Viktors,4
Andris,4
Peteris,4
Ivans,3
Sergejs,3
Anatolijs,3
Aivars,3
Jurijs,3
Andrejs,3
Mihails,2
Edgars,2
Valerijs,2
Vasilijs,2
Gunars,2
Valdis,2
Igors,2
Maris,2
Karlis,2
Imants,2
Jevgenijs,2
Arturs,2
Aleksejs,2
Ivars,2
Antons,2
Uldis,1
Stanislavs,1
Arvids,1
Leonids,1
Pjotrs,1
Olegs,1
Eduards,1
Boriss,1
Genadijs,1
Pavels,1
Vitalijs,1
Vladislavs,1
Roberts,1
Jazeps,1
Eriks,1
Voldemars,1
Guntis,1
Alberts,1
Martins,1
Dainis,1
Vilnis,1
