Name,Frequency
Berzins,7
Ozols,6
Kalnins,5
Ivanovs,5
Ozolins,5
Dreimanis,4
Jansons,3
Vasiljevs,3
Liepins,3
Krumins,3
Smirnovs,3
Petersons,3
Balodis,3
Karklins,3
Petrovs,3
Vanags,2
Zarins,2
Zvirbulis,2
Eglitis,2
Kudo,2
Vitols,2
Mihailovs,2
Grinbergs,2
Silins,2
Fjodorovs,2
Grigorjevs,2
Bergs,2
Jevstignejevs,2
Andersons,2
Lacis,2
Bogdanovs,2
Kuznecovs,2
Klavins,2
Freimanis,1
Krastins,1
Abolins,1
Strods,1
Lapins,1
Semjonovs,1
Aleksejevs,1
Miezis,1
Ronis,1
Stepanovs,1
Jakovlevs,1
Nikitins,1
Litvinovs,1
Briedis,1
Andrejevs,1
Kozlovs,1
Rudzitis,1
Pavlovs,1
