Name,Frequency
Barthel,1
Becker,1
Beicht,1
Bernhoeft,1
Brandebourg,1
Braun,1
Calmes,1
Clemes,1
Dieschbourg,1
Engels,1
Fabeck,1
Fischer,1
Flammang,1
Fresez,1
Goedert,1
Goergen,1
Groben,1
Hansen,1
Hausemer,1
Heinen,1
Helminger,1
Hirsh,1
Hoffmann,1
Jacoby,1
Joris,1
Juncker,1
Kahnt,1
Kayser,1
Kemmer,1
Kerg,1
Kerger,1
Kieffer,1
Kirchen,1
Kirsch,1
Kirscht,1
Klein,1
Klopp,1
Koltz,1
Kremer,1
Kutter,1
Lippmann,1
Majerus,1
Mayer,1
Menager,1
Meyer,1
Meyers,1
Minck,1
Molitor,1
Mullenbach,1
Muller,1
Nilles,1
Nosbusch,1
Probst,1
Rabinger,1
Reding,1
Reis,1
Reuter,1
Rewenig,1
Ries,1
Santer,1
Sax,1
Schaus,1
Schauss,1
Schiltz,1
Schleck,1
Schmit,1
Schmitz,1
Schneider,1
Schneiders,1
Scholtes,1
Schroeder,1
Schuman,1
Seimetz,1
Silva,1
Steffen,1
Steichen,1
Theis,1
Theisen,1
Thill,1
Thimmesch,1
Thyes,1
Tissen,1
Trausch,1
Tudor,1
Wagener,1
Wagner,1
Weiler,1
Weis,1
Weiss,1
Welter,1
Wengler,1
Werner,1
Wolff,1
Zeimet,1
