Name,Frequency
Ion,115
Vasile,74
Mihail,73
Ivan,67
Gheorghe,61
Vladimir,53
Victor,53
Nicolae,50
Andrei,48
Petru,34
Alexandru,34
Serghei,31
Valeriu,31
Constantin,30
Nicolai,29
Sergiu,28
Igor,26
Anatolie,26
Dumitru,26
Grigore,23
Iurie,22
Oleg,22
Pavel,22
Tudor,20
Alexei,18
Alexandr,18
Fiodor,18
Veaceslav,17
Vasili,17
Vitalie,17
Valentin,16
Boris,15
Piotr,15
Sergey,14
Aleksandr,14
Dmitriy,13
Tatyana,13
Leonid,12
Gheorghi,11
Stefan,11
Dmitri,10
Andrey,10
Vadim,10
Ilie,9
Stepan,9
Vasilii,8
Anatoli,8
Simion,8
Denis,8
Ghenadie,7
Roman,7
Viorel,7
Ruslan,6
Alexander,6
Nikolay,6
Mikhail,6
Stanislav,6
Eugeniu,6
Maxim,6
Viktor,5
Eduard,5
Anton,5
Mihai,5
Gheorghii,5
Iuri,5
Ilia,4
Grigori,4
Anatolii,4
Valerii,4
Maksim,4
Marin,4
Vladislav,4
Evgeniy,3
Radu,3
Iurii,3
