Name,Frequency
Rusu,21
Ceban,20
Ciobanu,18
Lungu,15
Cebotari,14
Munteanu,13
Popa,12
Gutu,12
Rotari,12
Balan,11
Sirbu,10
Cojocari,10
Grosu,10
Melnic,10
Rotaru,9
Cojocaru,9
Rosca,9
Turcan,9
Moraru,9
Morari,8
Cazacu,7
Cretu,7
Muntean,7
Botnari,7
Ursu,6
Bivol,6
Russu,6
Ivanov,5
Popovici,5
Lupu,5
Mocanu,5
Chiriac,5
Plamadeala,5
Luca,5
Negru,5
Guzun,5
Turcanu,5
Miron,5
Popescu,5
Railean,4
Arnaut,4
Florea,4
Cebanu,4
Popov,4
Plesca,4
Prodan,4
Andronic,4
Sandu,4
Ivanova,4
Rusnac,4
Buga,4
Burlacu,4
Musteata,4
Malai,4
Borta,4
Croitor,4
Bejenari,4
Cusnir,3
Pascari,3
Golban,3
Grecu,3
Oprea,3
Cernei,3
Pinzari,3
Gheorghita,3
Caraman,3
Bostan,3
Istrati,3
Spinu,3
Frunza,3
Cazac,3
Darii,3
Lisnic,3
Raileanu,3
Bors,3
