Name,Frequency
Popović,6
Marković,4
Ivanović,3
Radulović,3
Vukčević,3
Radović,3
Jovanović,3
Vuković,3
Knežević,3
Kovačević,3
Vujović,2
Božović,2
Pejović,2
Djurović,2
Raičević,2
Nikolić,2
Perović,2
Bulatović,2
Bošković,2
Maraš,2
Radonjić,2
Janković,2
Kalač,2
Petrović,2
Nikčević,2
Mugoša,2
Milošević,1
Martinović,1
Ćetković,1
Pavićević,1
Radunović,1
Milić,1
Šćekić,1
Šćepanović,1
Mitrović,1
Boljević,1
Krivokapić,1
Stojanović,1
Vujačić,1
Klikovac,1
Živković,1
Todorović,1
Vučinić,1
Vujošević,1
Rašović,1
Murić,1
Djukanović,1
Jovović,1
Karadžić,1
Stanišić,1
