Name,Frequency
Abdelaziz,1
Abdelhak,1
Abdelhamid,1
Abdelilah,1
Abdelkarim,1
Abdellah,1
Abdelmajid,1
Abderrahim,1
Abderrahman,1
Abdeslam,1
Abdullah,1
Adil,1
Ali,1
Amaniyy,1
Amrane,1
Aqil,1
Arib,1
Arwarh,1
Asil,1
Askari,1
Attiq,1
Awadah,1
Ayham,1
Ayoub,1
Ayser,1
Aziz,1
Baariq,1
Barkad,1
Baz,1
Bilal,1
Boutaje,1
Brahim,1
Bushr,1
Dirar,1
Diwan,1
Driss,1
Dulamah,1
Elias,1
Faqih,1
Farid,1
Fayaaz,1
Fayyad,1
Fouad,1
Ghali,1
Girgis,1
Habbab,1
Hadir,1
Hakem,1
Hamas,1
Hamdan,1
Hamid,1
Hassan,1
Hayyan,1
Hicham,1
Ibrahim,1
Ikrimah,1
Isma'il,1
Ismail,1
Iyas,1
Jalal,1
Jamal,1
Jamaldine,1
Jaul,1
Jibran,1
Kadeen,1
Karim,1
Khalid,1
Lahcen,1
Lubaid,1
Mahi,1
Marzuq,1
Mhamed,1
Mohamed,1
Mohammed,1
Mostafa,1
Muaz,1
Mujahid,1
Muslih,1
Mustapha,1
Muwaffaq,1
Noureddine,1
Omar,1
Ouahid,1
Quraishi,1
Rachid,1
Rasil,1
Ridouane,1
Rifky,1
Ruhul,1
Sadid,1
Safwah,1
Said,1
Salamah,1
Samir,1
Simohamed,1
Sofian,1
Sufyan,1
Suhaim,1
Tanan,1
Tarik,1
Tazim,1
Thamir,1
Thawab,1
Waliedine,1
Wasif,1
Wasim,1
Yassine,1
Younes,1
Youssef,1
Youssouf,1
Zakwan,1
Zarif,1
Ziaul-Haq,1
Zitane,1
