Name,Frequency
Abdessalam,1
Abécassis,1
Abouzeid,1
Achaari,1
Achtouk,1
Akalay,1
Akhrif,1
Akoujan,1
al-Ansari,1
al-Buzidi,1
al-Fassi,1
al-Ghumari,1
al-Habib,1
al-Harradi,1
al-Hassan,1
al-Jabri,1
al-Jirari,1
al-Makki,1
al-Tayyeb,1
Allal,1
Assaraf,1
Ayouch,1
Azaykou,1
Bahéchar,1
Baka,1
Barakat,1
Benali,1
Benchemsi,1
Bendahan,1
Benjelloun,1
Benmansour,1
Bennani,1
Berrada,1
Bikri,1
Binebine,1
Bouasria,1
Boukous,1
Bourkia,1
Bouzfour,1
Chafik,1
Chatt,1
Choukri,1
Chraïbi,1
Daoud,1
Diouri,1
El-Hababi,1
El-Moustaoui,1
Elalamy,1
Elmandjra,1
Ferhat,1
Ghallab,1
Guennoun,1
Hachim,1
Hachmi,1
Haddani,1
Hajji,1
Hajuji,1
Harrak,1
Ibrahim,1
Idrissi,1
Joumari,1
Kabbal,1
Kaghat,1
Khammar,1
Khatibi,1
Kilito,1
Ksikes,1
Laabi,1
Lahbabi,1
Lahbibi,1
Lahlou,1
Lalami,1
Lamrani,1
Laroui,1
Leghlid,1
Lemsih,1
Maadawi,1
Marouazi,1
Mejjati,1
Menebhi,1
Mernissi,1
Moudden,1
Mounir,1
Mourad,1
n’Ait,1
Nedali,1
Nissaboury,1
Oufkir,1
Oulehri,1
Qamari,1
Rabi,1
Rhissassi,1
Rhozali,1
Sabbag,1
Sabila,1
Sahimi,1
Said,1
Salem,1
Samie,1
Saqqat,1
Seddiki,1
Sefrioui,1
Serghini,1
Serhane,1
Sinaceur,1
Siqli,1
Tabbal,1
Taïa,1
Tawil,1
Tazi,1
Tobji,1
Torres,1
Toufiq,1
Trabelsi,1
Yaktine,1
Yassine,1
Zafrani,1
Zafzaf,1
