Name,Frequency
Aadarsh,1
Aaditey,1
Aakaash,1
Aakarshan,1
Aalok,1
Abhaya,1
Abhinav,1
Achyut,1
Achyuta,1
Adhiraj,1
Agni,1
Ajaya,1
Akash,1
Amir,1
Amitabh,1
Anjani,1
Ankit,1
Anoj,1
Anuj,1
Anuraag,1
Ashok,1
Atul,1
Avaneesh,1
Avanish,1
Bajra,1
Baldev,1
Balgovind,1
Balmohan,1
Balwant,1
Barun,1
Bhagwan,1
Bhairab,1
Bhairav,1
Bhakti,1
Bharadwaj,1
Bhavesh,1
Bibek,1
Bijanyendra,1
Bijay,1
Bijendra,1
Bikash,1
Bindeshwor,1
Binit,1
Biplav,1
Birbal,1
Bishal,1
Bramha,1
Brijesh,1
Brijmohan,1
Buddha,1
Chakra,1
Chandan,1
Chiranjeev,1
Chudamani,1
Damodar,1
Dayanand,1
Debendra,1
Dhana,1
Dhananjay,1
Dharma,1
Dharmalal,1
Dhir,1
Dhirendra,1
Dilaram,1
Dileep,1
Dinakar,1
Divakar,1
Durgesh,1
Ekalavya,1
Ekaraj,1
Fanishwar,1
Gagan,1
Gajendra,1
Gautam,1
Gokul,1
Gourishankar,1
Govinda,1
Gunaratna,1
Gurudutt,1
Hanuman,1
Hari,1
Harigopal,1
Hem,1
Hemachandra,1
Himal,1
Himanshu,1
Hitesh,1
Hridaya,1
Iman,1
Jagannath,1
Jagdish,1
Janak,1
Janardan,1
Jaya,1
Jayadev,1
Jayanta,1
Jeevan,1
Jitendra,1
Jivan,1
Jiwan,1
Kaila,1
Kalyan,1
Karna,1
Kasindra,1
Kaushal,1
Kedar,1
Keshab,1
Keshav,1
Khem,1
Kiran,1
Kishor,1
Kripal,1
Kris,1
Lalan,1
Lokesh,1
Mahadev,1
Mahant,1
Mahavir,1
Mahendra,1
Mahesh,1
Mangal,1
Mangesh,1
Manmohan,1
Mohan,1
Nabin,1
Nagendra,1
Nandlal,1
Naresh,1
Naveen,1
Nikhilesh,1
Nirbhaya,1
Nishant,1
Om,1
Parakram,1
Paras,1
Parwesh,1
Pavan,1
Pawan,1
Phanindra,1
Pitambar,1
Poonyeah,1
Prabin,1
Prabuddha,1
Pradip,1
Prajeet,1
Prajit,1
Prakash,1
Prasad,1
Prashant,1
Pratik,1
Praval,1
Praveen,1
Pravin,1
Prawal,1
Pritam,1
Prithivi,1
Prithvi,1
Purushottam,1
Rabindra,1
Rajan,1
Rajeev,1
Rajendra,1
Rakesh,1
Ram,1
Ramchandra,1
Randhir,1
Ranjeet,1
Ranjit,1
Rashmi,1
Ravi,1
Rishabh,1
Rishav,1
Rishi,1
Rohan,1
Rushav,1
Sahadev,1
Sameer,1
Samir,1
Sanjeev,1
Santosh,1
Sarbagya,1
Satyanarayan,1
Saurabh,1
Shahid,1
Shailesh,1
Shambhu,1
Shamsher,1
Shashi,1
Shrikanta,1
Shyamsundar,1
Siddhartha,1
Sridhar,1
Subas,1
Subhash,1
Sudhakar,1
Sudhir,1
Suman,1
Sundar,1
Sunil,1
Suraj,1
Suren,1
Suresh,1
Surya,1
Thaila,1
Upendra,1
Uttam,1
Vajra,1
Vasant,1
Vasishtha,1
Vineet,1
Vipin,1
Yadav,1
Yagya,1
