Name,Frequency
Agarwal,1
Agasti,1
Agrawal,1
Ansari,1
Aryal,1
Awasthi,1
Bachhar,1
Baidya,1
Bajagain,1
Bal,1
Bamrel,1
Bandyopadhyay,1
Banepali,1
Baniya,1
Banjade,1
Barakoti,1
Baral,1
Basnet,1
Bastakoti,1
Bastola,1
Bataju,1
Batas,1
Bhansali,1
Bhattachan,1
Bhujail,1
Bhujel,1
Bhutia,1
Bimb,1
Bisht,1
Bist,1
Bista,1
Bogati,1
Bohra,1
Budathoki,1
Buddhacharya,1
Budhathoki,1
Byanjankar,1
Chalise,1
Chamling,1
Chamrel,1
Chanda,1
Chaulagain,1
Chitrakar,1
Choudhary,1
Dangi,1
Danuwar,1
Dawadi,1
Devkota,1
Dhakwa,1
Dhami,1
Dharel,1
Dhewajoo,1
Dhimal,1
Dhital,1
Dhundup,1
Dhungel,1
Dolma,1
Dulal,1
Dutta,1
Gadtaula,1
Gaire,1
Gaudel,1
Gaundel,1
Gautam,1
Ghimire,1
Ghorasaini,1
Giri,1
Gorkhali,1
Goudel,1
Gubhaju,1
Gupta,1
Guragain,1
Gyanwali,1
Hamal,1
Himanshu,1
Humagain,1
Jamarkattel,1
Jha,1
Jirel,1
Kandel,1
Kanel,1
Kansakar,1
Kantha,1
Kapali,1
Kaphle,1
Karkee,1
Karn,1
Khanal,1
Khatioda,1
Khetan,1
Khwaounju,1
Khwaunju,1
Kolachapati,1
Kunwer,1
Lekhak,1
Luitail,1
Luitel,1
Madhikarmi,1
Magar,1
Mahat,1
Mahto,1
Mainali,1
Malakar,1
Malla,1
Manandhar,1
Mandal,1
Marasini,1
Maskay,1
Massali,1
Mathema,1
Mishra,1
Misra,1
Mitra,1
Modi,1
Mulepati,1
Mulmi,1
Munakarmi,1
Nagarkoti,1
Nayaju,1
Nayak,1
Neopane,1
Neupane,1
Nihure,1
Niroula,1
Nyachhyon,1
Nyachyoo,1
Nyaupane,1
Pageni,1
Pahadi,1
Pahari,1
Pande,1
Pandit,1
Pangeni,1
Panta,1
Panth,1
Pantha,1
Panthee,1
Parajuli,1
Parsai,1
Patel,1
Paudel,1
Paudyal,1
Pokhrel,1
Portel,1
Pradhan,1
Pradhanang,1
Pradhananga,1
Prasai,1
Pyakuryal,1
Rai,1
Rajak,1
Rajaure,1
Rajkarnikar,1
Ranjit,1
Ranjitkar,1
Rasaili,1
Rasaily,1
Rauniyar,1
Rawal,1
Rawat,1
Rimal,1
Risal,1
Roka,1
Rumba,1
Sahani,1
Sainju,1
Sapkota,1
Satyal,1
Sharma,1
Sherchan,1
Sherchand,1
Shilpakar,1
Shreesh,1
Shrestha,1
Shukla,1
Sigdel,1
Sijapati,1
Silpakar,1
Silwal,1
Singh,1
Sinha,1
Sinjali,1
Sinkhada,1
Sitaula,1
Sodhi,1
Subba,1
Subedee,1
Subedi,1
Sunuwar,1
Sunwar,1
Syangden,1
Tamarkar,1
Tammrakar,1
Tamrakar,1
Tandukar,1
Thakur,1
Thakuri,1
Thapa,1
Thapalia,1
Timalsina,1
Timilshina,1
Timilsina,1
Tuladhar,1
Upadhayay,1
Upadhyay,1
Upreti,1
Vaidya,1
Vajracharya,1
Vidyadhar,1
Wasti,1
Wosti,1
Yonjan,1
Yonzon,1
