Name,Frequency
Stojanovski,5
Jovanovski,4
Nikolovski,4
Trajkovski,3
Ramadani,3
Stojanov,3
Krstevski,3
Jovanov,2
Bajrami,2
Atanasov,2
Ristovski,2
Nikolov,2
Petrovski,2
Redžepi,2
Gjorgjievski,2
Cvetkovski,2
Petrov,2
Šabani,2
Ademi,2
Sulejmani,2
Spasovski,2
Ibraimi,2
Osmani,2
Ilievski,2
Petkovski,2
Asani,2
Ristov,2
Dimovski,2
Gjorgjiev,2
Mladenovski,2
Božinovski,2
Ismaili,1
Ivanovski,1
Petruševski,1
Velkovski,1
Todorovski,1
Imeri,1
Mitev,1
Risteski,1
Jašari,1
Petreski,1
Stefanovski,1
Jakimovski,1
Stojkovski,1
Jusufi,1
Iseni,1
Angelovski,1
Atanasovski,1
Dimitrievski,1
Emini,1
