Name,Frequency
Vagen,1
Dahlberg,1
Caspersen,1
Isaksen,1
Aarvold,1
Mork,1
Haarstad,1
Bjorge,1
Osterholt,1
Knudsen,1
Hegge,1
Ege,1
Kallevig,1
Finstad,1
Sollie,1
Axelsen,1
Thaulow,1
Mickelsen,1
Meas,1
Weberg,1
Meling,1
Froiland,1
Sundheim,1
Hegdahl,1
Nordlie,1
Bingen,1
Fett,1
Kolden,1
Johansen,1
Moseby,1
Ostlund,1
Marken,1
Aga,1
Bjelland,1
Heimark,1
Steffensen,1
Christophersen,1
Stohl,1
Bakker,1
Bakken,1
Jakhelln,1
Anker,1
Nordhus,1
Birkeland,1
Belland,1
Jakobson,1
Holter,1
Hagtvedt,1
Sparre,1
Balstad,1
Rongstad,1
Allum,1
Horgen,1
Heggen,1
Haga,1
Vold,1
Osness,1
Roseth,1
Houg,1
Hermansen,1
Kleppe,1
Velde,1
Bjornson,1
Ulberg,1
Reinertsen,1
Nilsen,1
Eriksen,1
Agard,1
Stenseth,1
Simensen,1
Torkelson,1
Ree,1
Bjorgen,1
Wollum,1
Enge,1
Bjorklund,1
Ranum,1
Thorson,1
Salmonsen,1
Lystad,1
Henjum,1
Ohm,1
Tronnes,1
Dalen,1
Frantzen,1
Olstad,1
Hendriksen,1
Hauge,1
Juve,1
Floden,1
Borsheim,1
Lone,1
Langness,1
Gill,1
Rye,1
Horne,1
Ingebretson,1
Clemensen,1
Sander,1
Frandsen,1
Gandrud,1
Mogensen,1
Asleson,1
Lofthus,1
Ostby,1
Sorby,1
Wee,1
Estrem,1
Kopperud,1
Melby,1
Bratt,1
Sandahl,1
Skeie,1
Schau,1
Eggen,1
Skagen,1
Otness,1
Kjelland,1
Henning,1
Holien,1
Ramberg,1
Hovda,1
Berven,1
Brundtland,1
Rogness,1
Aarseth,1
Nyhus,1
Franzen,1
Teigen,1
Boger,1
Finne,1
Waage,1
Bertelsen,1
Berg,1
Aros,1
Conradi,1
Torvik,1
Rusten,1
Dahling,1
Erstad,1
Eggum,1
Ingebretsen,1
Thomassen,1
Gundersen,1
Ask,1
Nohr,1
Setter,1
Stavig,1
Bell,1
Wike,1
Berget,1
Falla,1
Stray,1
Nese,1
Pettersen,1
Berrefjord,1
Eskildsen,1
Morland,1
Simonsen,1
Breeland,1
Henrichsen,1
Matthiessen,1
Gilbertsen,1
Roys,1
Hellberg,1
Boge,1
Backer,1
Urdahl,1
Jorstad,1
Rong,1
Erdahl,1
Ottum,1
Korsmo,1
Drag,1
Solbakken,1
Egge,1
Eid,1
Aalberg,1
Kise,1
Ellestad,1
