Name,Frequency
Aabdeen,1
Aakif,1
Abdul,1
Abdut,1
Abood,1
Abou-ali,1
Acunalan,1
Aiman,1
Akif,1
Akkuyas,1
Aklan,1
Akozan,1
Akram,1
Akses,1
Akunal,1
Ala,1
Alaattin,1
Alawi,1
Ali,1
Ali-dad,1
Alisan,1
Alpay,1
Alpdogan,1
Alptekin,1
Alpyurek,1
Altin,1
Alvand,1
Amjad,1
Amru,1
Anil,1
Anoushiravan,1
Ant,1
Arash,1
Ardalan,1
Arman,1
Arshan,1
Arsia,1
Aryano,1
Aryasp,1
Asim,1
Aslam,1
Atila,1
Atom,1
Awad,1
Awf,1
Aydogmus,1
Ayetullah,1
Ayhan,1
Aytac,1
Aytug,1
Azat,1
Bahadur,1
Bahram,1
Bamdad,1
Bamshad,1
Barbod,1
Baser,1
Bassaam,1
Bastam,1
Bekir,1
Bener,1
Bilge,1
Birce,1
Boga,1
Bora,1
Borzin,1
Borzoo,1
Borzuyeh,1
Bozkurt,1
Buksh,1
Bulent,1
Cafer,1
Cagla,1
Dadvar,1
Daryadel,1
Davut,1
Dayi,1
Demircan,1
Demirel,1
Demirer,1
Denker,1
Dhaafir,1
Diyako,1
Dogu,1
Ehsan,1
Elci,1
Erden,1
Ergenc,1
Erke,1
Erker,1
Erol,1
Ersan,1
Ertekin,1
Ertunc,1
Faatin,1
Fahri,1
Faramarz,1
Faramin,1
Farazman,1
Farbod,1
Farian,1
Farivar,1
Farsheed,1
Fartouss,1
Farvartish,1
Faryan,1
Fatak,1
Fatih,1
Fawzi,1
Fayyaad,1
Gediz,1
Gence,1
Gencer,1
Gercek,1
Ghaazi,1
Ghalandar,1
Gun,1
Gunduzalp,1
Guner,1
Gunes,1
Gurcan,1
Haani,1
Haazim,1
Halit,1
Hamad,1
Hanefi,1
Hazhir,1
Hesam,1
Hikmet,1
Hilaal,1
Hizir,1
Hoomin,1
Hossein,1
Humaidaan,1
Human,1
Idrees,1
Ilkan,1
Ilkut,1
Isfandyar,1
Isitan,1
Ismaeel,1
Istemihan,1
Izzaddeen,1
Jaarallah,1
Jahanbakhsh,1
Jahanban,1
Joubin,1
Jumail,1
Kabeer,1
Kam,1
Kamal,1
Kavian,1
Kayan,1
Kazem,1
Kok,1
Kooshan,1
Levent,1
Lohrasb,1
Maahir,1
Mahmood,1
Manak,1
Manoosh,1
Manouchehr,1
Maytham,1
Mehdi,1
Melih,1
Mertkan,1
Milad,1
Misagh,1
Moeen,1
Mohammad,1
Muammer,1
Munjid,1
Muntasir,1
Mut,1
Naaif,1
Naim,1
Namdar,1
Nassaar,1
Necip,1
Nezam,1
Nika,1
Niknia,1
Nivand,1
Nivzad,1
Nojan,1
Norouz,1
Nuh,1
Ogus,1
Oguzhan,1
Okaner,1
Okhshan,1
Okur,1
Okyanus,1
Onan,1
Orcun,1
Ozakar,1
Ozen,1
Ozgur,1
Ozutok,1
Pahlbod,1
Pasad,1
Pejman,1
Pourang,1
Pouyan,1
Qutb,1
Rabi,1
Radbod,1
Rashin,1
Rasul,1
Razeen,1
Rida,1
Rifaah,1
Roham,1
Ruwaid,1
Ryka,1
Saadiq,1
Saban,1
Saglam,1
Sahl,1
Saka,1
Salaah,1
Saleet,1
Salmak,1
Samyar,1
Sancak,1
Sanjar,1
Sepanta,1
Serhan,1
Sevki,1
Shahbaz,1
Shahrooz,1
Shameem,1
Shervan,1
Shidasp,1
Shyan,1
Sila,1
Sitki,1
Sorna,1
Soufara,1
Suleyman,1
Surena,1
Taaha,1
Taha,1
Taj,1
Tajfar,1
Talaal,1
Taliman,1
Tandogan,1
Tardu,1
Tatar,1
Teker,1
Tekin,1
Thaamir,1
Tin,1
Toofan,1
Torel,1
Torgay,1
Toy,1
Toydemir,1
Tugalp,1
Tugra,1
Tumenboga,1
Tuner,1
Turgay,1
Turki,1
Turkoglu,1
Tutak,1
Tutku,1
Ufuk,1
Ugurlu,1
Ulusoy,1
Umran,1
Unais,1
Usak,1
Utana,1
Uthmaa,1
Vahid,1
Varol,1
Vartan,1
Vorna,1
Wajdi,1
Ya'qoob,1
Yahya,1
Yamac,1
Yaman,1
Yamanoz,1
Yavuz,1
Yazik,1
Yener,1
Yigit,1
Yigitcan,1
Yilmaz,1
Yolal,1
Yoruc,1
Yosun,1
Yucesoy,1
Zadfar,1
Zal,1
Zarvan,1
Zengin,1
Zhian,1
