Name,Frequency
Abbasi,1
Abro,1
Achakzai,1
Afridi,1
Agha,1
Ahmadani,1
Akbar,1
Alvi,1
Ansari,1
Ashkani,1
Askari,1
Badrashi,1
Bajwa,1
Bangash,1
Baqri,1
Barlas,1
Bhatti,1
Bhutta,1
Brahmani,1
Bukhari,1
Burki,1
Buzdar,1
Chamkanni,1
Chandio,1
Chaudhry,1
Chutani,1
Damanis,1
Dar,1
Dareshak,1
Dawar,1
Derawal,1
Dhanial,1
Dhariwal,1
Dhillon,1
Dilazak,1
Duggal,1
Faqir,1
Firdausi,1
Gabol,1
Gadai,1
Gadhi,1
Gajani,1
Gakhar,1
Gandapur,1
Gashkori,1
Ghazali,1
Ghazini,1
Gichki,1
Gilani,1
Gill,1
Gorgage,1
Gul,1
Gurmani,1
Hamadani,1
Hameed,1
Hasni,1
Hingora,1
Hingorja,1
Hussain,1
Hyderi,1
Idrisi,1
Indra,1
Isfahani,1
Jadgal,1
Jadoon,1
Jafari,1
Jalbani,1
Jaleel,1
Jamali,1
Jappa,1
Jarral,1
Jarwar,1
Jat,1
Jatoi,1
Jhalawan,1
Kahloon,1
Kaira,1
Kakar,1
Kakazai,1
Kalhoro,1
Kalmati,1
Kalpar,1
Kalwar,1
Kalyal,1
Kambarzahi,1
Kashmiri,1
Kathia,1
Kayani,1
Kazmi,1
Kermani,1
Khalil,1
Khan,1
Khara,1
Kharal,1
Kharoti,1
Khaskheli,1
Khattak,1
Khawaja,1
Khetran,1
Khokhar,1
Khorasani,1
Khushk,1
Kichlu,1
Kirmani,1
Korai,1
Lakhani,1
Lango,1
Lanjwani,1
Lari,1
Lodhi,1
Lodhra,1
Lone,1
Lund,1
Machi,1
Magsi,1
Mahesar,1
Makhdoom,1
Malhotra,1
Mamund,1
Mangi,1
Mashwanis,1
Masood,1
Memon,1
Mengal,1
Mian,1
Minhas,1
Mir,1
Mohmand,1
Mousavi,1
Mughal,1
Mugheri,1
Mullagori,1
Musakhel,1
Naeem,1
Najafi,1
Nanda,1
Nishapuri,1
Nizamani,1
Noorani,1
Nothazai,1
Orakzai,1
Osmani,1
Paracha,1
Pasha,1
Patel,1
Pathan,1
Pirzada,1
Popalzai,1
Qadiri,1
Qaisrani,1
Qalat,1
Qambrani,1
Qureshi,1
Rahmanzai,1
Raisani,1
Rajpar,1
Rajput,1
Ramay,1
Rathore,1
Razavi,1
Reza,1
Rind,1
Rizvi,1
Saadi,1
Sabzvari,1
Sadat,1
Sahi,1
Sahni,1
Saifi,1
Sajjadi,1
Saleem,1
Salim,1
Samma,1
Sangrasi,1
Sanjarzai,1
Sanjrani,1
Sargana,1
Sasooli,1
Sayyid,1
Sethwi,1
Shah,1
Shambhani,1
Shar,1
Sheedi,1
Sherzai,1
Shilmani,1
Shinwari,1
Shirani,1
Shirazi,1
Sial,1
Siddiqui,1
Sistani,1
Siyal,1
Sulemani,1
Sumbal,1
Suri,1
Swati,1
Tahirkheli,1
Talpur,1
Taqvi,1
Tauqi,1
Tawwab,1
Tirmizi,1
Tokhi,1
Turabi,1
Turkhel,1
Umarzai,1
Usmani,1
Virk,1
Wadeyla,1
Wassan,1
Wattu,1
Wazir,1
Wur,1
Yazdani,1
Zain,1
Zardari,1
