Name,Frequency
Abavu,1
Aila,1
Aisa,1
Aisi,1
Aiye,1
Aizue,1
Akia,1
Ako,2
Ali,1
Alu,1
Angara,1
Ani,1
Apa,1
Apo,1
Arua,1
Awai,1
Babo,1
Baloiloi,1
Baraka,1
Baru,1
Biri,1
Buka,1
Dau,1
Enuma,1
Evei,1
Gari,1
Gau,1
Gavera,1
Geno,1
Gomia,1
Gorogo,1
Haro,1
Hau,2
Henao,1
Igo,1
Injia,1
Ioka,1
Joku,1
Kala,1
Kali,1
Kama,1
Kami,1
Kapa,2
Kapi,1
Kapu,1
Kari,1
Kariko,1
Karo,1
Kasi,1
Kavanamur,1
Kema,1
Keppa,1
Kewa,1
Kia,1
Kila,1
Kini,1
Koi,1
Kone,1
Kouoru,1
Kua,1
Kui,1
Kula,1
Kulu,1
Kuman,1
Laka,2
Leka,1
Leo,1
Lepani,1
Loi,1
Loko,1
Mai,1
Maino,1
Maira,1
Maki,1
Mamando,1
Manu,1
Manuai,1
Marabe,1
Maru,1
Mase,1
Maso,1
Miria,1
Moi,1
Mondo,1
Moni,1
Morea,1
Na’awi,1
Nami,1
Natera,1
Nema,1
Nou,1
Nouairi,1
Nuia,1
Okul,1
Olewale,1
Oli,1
Omi,1
Ovia,1
Paiyo,1
Pala,1
Paniu,1
Paru,1
Passingan,1
Peni,1
Pok,1
Pomat,1
Pora,1
Pulu,1
Raga,1
Raka,1
Rau,1
Ravu,1
Rawali,1
Rei,1
Renagi,1
Riyong,1
Roape,1
Sariman,1
Segeyaro,1
Sere,1
Solbat,1
Tai,1
Tamarua,1
Tau,1
Taufa,1
Taviri,1
Tela,1
Tiki,2
Tiri,1
Toba,1
Tongap,1
Toua,1
Vagi,1
Vai,1
Vali,1
Vele,1
Wabo,1
Wai,1
Wakit,1
Wala,1
Walo,1
Wanji,1
Wari,1
Yer,1
Yere,1
