Name,Frequency
Abad,1
Abatayo,1
Abaya,1
Abayan,1
Abella,1
Acevedo,1
Acosta,1
Acuña,1
Adlawan,1
Agcaoili,1
Aguilar,1
Alcántar,1
Alcántara,1
Alejandro,1
Alejo,1
Alférez,1
Alicante,1
Alonzo,1
Álvarez,1
Amparo,1
Ancheta,1
Andal,1
Andrada,1
Araneta,1
Arboleda,1
Arce,1
Arcega,1
Arcilla,1
Austria,1
Azarcón,1
Balandra,1
Balangao,1
Balbutin,1
Balgos,1
Balingit,1
Baluyot,1
Barcelona,1
Barerra,1
Baylosis,1
Bayona,1
Belisario,1
Belleza,1
Bello,1
Benavides,1
Benítez,1
Bernardino,1
Bernardo,1
Bituin,1
Bondoc,1
Bontia,1
Bristol,1
Buclod,1
Buenaflor,1
Buenavidez,1
Buenconsejo,1
Buendía,1
Buenpacífico,1
Bulan,1
Buñag,1
Cabahug,1
Caballero,1
Cabangon,1
Cabrales,1
Cabrera,1
Cabungcal,1
Cachuela,1
Campong,1
Canencia,1
Canlas,1
Cantillo,1
Capili,1
Capillo,1
Capulong,1
Carandang,1
Carrasco,1
Castañares,1
Castañeda,1
Castillo,1
Catacutan,1
Cayabyab,1
Cayetano,1
Centino,1
Cerezo,1
Cerinza,1
Cervantes,1
Chávez,1
Clemente,1
Concepción,1
Cordero,1
Corporal,1
Corpuz,1
Costales,1
Cuenca,1
Cuenco,1
Cueva,1
Cunanan,1
Custodio,1
Dabi,1
Daclan,1
Dagohoy,1
Dalrymple,1
Defensor,1
Deocampo,1
Digamon,1
Dilag,1
Dimaculangan,1
Dimalanta,1
Divinagracia,1
Domingo,1
Duarna,1
Dueñas,1
Dulay,1
Dulce,1
Dumlao,1
Elorza,1
Escalante,1
Escaño,1
Escribano,1
Español,1
Espejo,1
Etrone,1
Europa,1
Evangelista,1
Fazon,1
Fernández,1
Fernando,1
Ferrer,1
Flores,1
Formalouza,1
Galang,1
Galíndez,1
Gatdula,1
Gatus,1
Gica,1
Gil,1
Gómez,1
Gonzaga,1
Gonzáles,1
Guadarrama,1
Halili,1
Hinojosa,1
Hojas,1
Ilagan,1
Inárez,1
Infanta,1
Infante,1
Iriberri,1
Isip,1
Jabillo,1
Jacinto,1
Jalandoni,1
Javier,1
Lacanilao,1
Lacsamana,1
Lagman,1
Lara,1
Laurel,1
Lavares,1
Legaspí,1
Legazpí,1
Leones,1
Libunao,1
Lingao,1
Liwag,1
Liwanag,1
Lontok,1
Lorenzo,1
Lualhati,1
Macalinao,1
Macaraeg,1
Macaraig,1
Macatangay,1
Macrohon,1
Madrid,1
Magnaye,1
Magno,1
Magsakay,1
Magsino,1
Malaluan,1
Malano,1
Mallari,1
Mamaril,1
Manabat,1
Manalastas,1
Manalo,1
Manaloto,1
Mangahas,1
Manzano,1
Maranan,1
Marcelo,1
Mariano,1
Masancay,1
Matias,1
Matías,1
Mayor,1
Medina,1
Mención,1
Méndez,1
Mercadejas,1
Mercado,1
Mesías,1
Mindoro,1
Mineque,1
Miranda,1
Montano,1
Montelibano,1
Monteloyola,1
Montenegro,1
Montero,1
Monteverde,1
Monzón,1
Munsayac,1
Nallos,1
Natividad,1
Naval,1
Navarro,1
Órdenes,1
Ouano,1
Padilla,1
Paloma,1
Pamplona,1
Pasa,1
Patacsil,1
Pavia,1
Pelayo,1
Pérez,1
Piñero,1
Pizarro,1
Portugal,1
Prieto,1
Punzalan,1
Quema,1
Quiñones,1
Ramientos,1
Ramírez,1
Razón,1
Recio,1
Recto,1
Reoja,1
Riego,1
Rioja,1
Roces,1
Rodríguez,1
Rosario,1
Roxas,1
Rubio,1
Salinas,1
Salvador,1
Sánchez,1
Santillán,1
Sarte,1
Sevilla,1
Sicat,1
Silva,1
Silvestre,1
Solas,1
Solivio,1
Subejano,1
Sullano,1
Talavér,1
Talion,1
Tanilon,1
Tayag,1
Tejada,1
Tibayan,1
Tolosa,1
Torres,1
Tugonon,1
Tumulak,1
Vargas,1
Veluz,1
Villamor,1
Villanueva,1
Villarin,1
Villarino,1
Villarosa,1
Villegas,1
Vizcaya,1
Yao,1
Yllana,1
Zafra,1
Zoleta,1
Zulueta,1
