Name,Frequency
Piotr,1346
Tomasz,1133
Marcin,981
Krzysztof,955
Andrzej,661
Marek,654
Maciej,626
Grzegoroz,595
Robert,545
Adam,526
Jacek,510
Wojciech,471
Mariusz,403
Pawel,390
Michal,375
Paweł,334
Dariusz,329
Artur,323
Jakub,305
Mateusz,298
Jan,279
Kamil,238
Lukasz,231
Bartosz,217
Daniel,217
Zbigniew,210
Jerzy,208
Janusz,208
Sebastian,206
Rafal,189
Rafał,178
Karol,177
Arkadiusz,162
Damian,143
Konrad,142
Leszek,137
Szymon,136
Łukasz,135
Dawid,132
Ryszard,130
Tomek,128
Jarosław,116
Wojtek,114
Roman,112
Jaroslaw,112
Dominik,105
Adrian,104
Tadeusz,104
Przemysław,104
Jarek,93
Waldemar,90
Patryk,89
Aleksander,89
Witold,82
Przemyslaw,80
Bartek,80
Maciek,77
Bogdam,77
Slawomir,75
Filip,75
Cezary,68
Darek,68
Przemek,67
Radosław,66
Mirosław,62
Bartłomiej,61
Hubert,60
Krystian,58
Miroslaw,55
Radek,53
Oskar,52
Stanisław,51
Ireneusz,51
Marian,50
Henryk,49
