Name,Frequency
Nowak,268
Kowalski,161
Lewandowski,107
Kowalczyk,107
Kamiński,105
Zieliński,102
Szymański,100
Kozłowski,86
Jankowski,79
Wojciechowski,76
Kwiatkowski,75
Kaczmarek,72
Mazur,72
Krawczyk,71
Piotrowski,70
Grabowski,66
Nowakowski,65
Pawłowski,63
Michalski,62
Adamczyk,60
Nowicki,60
Dudek,60
Zając,57
Wieczorek,57
Majewski,56
Jabłoński,55
Olszewski,54
Jaworski,53
Pawlak,53
Malinowski,53
Walczak,51
Witkowski,51
Rutkowski,50
Michalak,49
Sikora,48
Ostrowski,47
Baran,46
Szewczyk,46
Duda,46
Tomaszewski,46
Pietrzak,46
Marciniak,45
Zalewski,43
Jakubowski,43
Zawadzki,42
Jasiński,42
Sadowski,42
Chmielewski,40
Borkowski,39
Czarnecki,39
Sawicki,38
Kubiak,38
Sokołowski,37
Maciejewski,37
Urbański,37
Kucharski,37
Szczepański,37
Wilk,36
Lis,36
Mazurek,36
Kalinowski,36
Wysocki,36
Marcinkiewicz,34
Wasilewski,33
Sobczak,33
Andrzejewski,32
Czerwiński,32
Cieślak,32
Zakrzewski,31
Sikorski,31
Krajewski,31
Szymczak,31
Gajewski,31
Gortat,31
Sochan,31
