Name,Frequency
Alexandru,432
Andrei,324
Mihail,262
Marius,262
Adrian,257
Ionut,252
Florin,245
Daniel,209
Cristian,208
Bogdan,185
George,179
Constantin,177
Vasile,150
Gabriel,139
Nicolae,128
Gheorghe,120
Cosmin,108
Robert,103
Stefan,101
Ion,100
Alin,96
Valentin,95
Iulian,95
Radu,87
Claudiu,84
Vlad,81
Dan,81
Razvan,76
Paul,75
Dumitru,75
Sorin,74
Lucian,70
Ovidiu,67
Ionel,63
Ciprian,60
Silviu,56
Sergiu,54
Viorel,53
Liviu,52
Mircea,50
Dragos,49
Laurentiu,48
Petru,46
Ionuţ,43
Sebastian,40
Ionuț,37
Eduard,37
Costel,37
Ilie,34
Emanuel,33
Victor,32
Raul,31
Eugen,31
Răzvan,28
Attila,28
Cornel,27
Tudor,27
Dorin,27
Octavian,27
Emil,27
Teodor,25
Alex,24
Danut,24
David,24
Aurel,24
Mihail,23
Zsolt,22
Nobert,22
Florian,22
Istvan,22
Andrada,21
Marcel,21
Tiberiu,21
Nicusor,20
Csaba,20
