Name,Frequency
Popa,170
Popescu,128
Pop,116
Dumitru,89
Stan,81
Stoica,79
Gheorghe,79
Matei,76
Rusu,72
Mihail,69
Ciobanu,69
Constantin,67
Marin,67
Ionescu,62
Florea,62
Ilie,61
Toma,61
Stanciu,61
Mumteanu,60
Vasile,58
Oprea,58
Tudor,58
Sandu,57
Moldovan,56
Ion,55
Ungureanu,55
Dinu,55
Andrei,53
Barbu,51
Serban,51
Neagu,51
Cristea,47
Anghel,47
Lazar,47
Dragomir,47
Enache,46
Badea,46
Sefan,46
Vlad,45
Macanu,44
Iordache,43
Coman,43
Cojocaru,42
Grigore,42
Voicu,41
Dobre,41
Petre,41
Nagy,41
Lupu,41
Lungu,41
Ivan,40
Ene,40
Preda,40
Roman,39
Ionita,38
Iancu,38
Nicolae,37
Manea,36
Nistor,36
Stoian,36
Avram,36
Pavel,36
Simion,36
Rus,36
Iacob,36
Bucur,34
Luca,34
Olteanu,33
Filip,33
Tanase,32
Costea,32
Muresan,31
Sali,30
Tarnovanu,29
